Ticker,Golden Cycle,Golden ON,Golden OFF,Weeks ON,Silver Entry Date,Silver Entry Price,Exit Date,Exit Price,Return %,Exit Reason
MRK.DE,35,2021-05-17,2021-09-13,17,2021-05-20,143.14999389648438,2021-09-13,202.10000610351562,41.18059009465247,TRAILING_STOP
MRK.DE,36,2021-10-18,2021-11-29,6,2021-10-20,193.6999969482422,2021-11-29,219.60000610351562,13.371197503009814,RSI_BAND_DROP
MRK.DE,37,2021-12-27,2022-01-03,1,2021-12-29,229.3000030517578,2022-01-03,222.89999389648438,-2.7911073136047126,HARD_STOP_FROM_ENTRY
MRK.DE,38,2022-04-04,2022-05-02,4,2022-04-07,195.5500030517578,2022-05-02,173.0500030517578,-11.506008513865751,HARD_STOP_FROM_ENTRY
MRK.DE,39,2022-07-04,2022-08-22,7,2022-07-05,169.4499969482422,2022-08-22,179.89999389648438,6.167009227762987,TRAILING_STOP
MRK.DE,40,2022-11-07,2023-01-30,12,2022-11-09,167.75,2023-01-30,193.5500030517578,15.380031625489,TRAILING_STOP
MRK.DE,41,2023-06-05,2023-06-19,2,2023-06-06,167.8000030517578,2023-06-19,155.9499969482422,-7.061982054827798,HARD_STOP_FROM_ENTRY
MRK.DE,42,2023-07-24,2023-09-18,8,2023-07-25,155.8000030517578,2023-09-18,160.8000030517578,3.2092425558804205,TREND_BREAK_MA40_TWO_NEG_SLOPE
MRK.DE,43,2023-11-13,2023-12-04,3,2023-11-17,157.0,2023-12-04,161.9499969482422,3.1528642982434407,HARD_STOP_FROM_ENTRY
MRK.DE,44,2024-01-15,2024-01-29,2,2024-01-16,145.39999389648438,2024-01-29,153.6999969482422,5.708392984986577,TRAILING_STOP
MRK.DE,45,2024-02-05,2024-04-01,8,2024-02-09,151.89999389648438,2024-04-02,157.6999969482422,3.8183036766350043,TRAILING_STOP
MRK.DE,46,2024-05-06,2024-06-24,7,2024-05-08,154.6999969482422,2024-06-24,167.0500030517578,7.983197380183249,TRAILING_STOP
MRK.DE,47,2024-07-22,2024-09-02,6,2024-07-26,156.10000610351562,2024-09-02,175.1999969482422,12.235739973040527,RSI_BAND_DROP
MRK.DE,48,2025-01-13,2025-02-03,3,2025-01-22,145.5,2025-02-03,144.4499969482422,-0.7216515819641334,TREND_BREAK_MA40_TWO_NEG_SLOPE
MRK.DE,49,2025-05-05,2025-05-12,1,2025-05-06,125.30000305175781,2025-05-12,125.1500015258789,-0.11971390440983498,HARD_STOP_FROM_ENTRY
MRK.DE,50,2025-06-02,2025-06-16,2,,,,,,
MRK.DE,51,2025-06-30,2025-07-28,4,2025-07-10,113.9000015258789,2025-07-28,113.05000305175781,-0.7462673070535164,TREND_BREAK_MA40_TWO_NEG_SLOPE
MRK.DE,52,2025-08-11,2025-10-06,8,2025-08-13,110.0,2025-10-06,120.8499984741211,9.863634976473712,RSI_BAND_DROP
MRK.DE,53,2025-10-13,2025-11-03,3,,,,,,
MRK.DE,54,2025-11-10,2026-02-02,12,2025-11-13,113.5,2026-02-02,126.30000305175781,11.277535728420984,TRAILING_STOP
MRK.DE,55,2026-02-09,2026-03-02,3,2026-02-11,125.0999984741211,2026-03-02,126.25,0.9192658192692216,HARD_STOP_FROM_ENTRY
HNR1.DE,1,2011-07-25,2011-08-01,1,,,,,,
HNR1.DE,2,2011-09-26,2011-11-21,8,2011-09-28,32.3650016784668,2011-11-21,35.415000915527344,9.423757388802434,TRAILING_STOP
HNR1.DE,3,2011-11-28,2011-12-12,2,2011-11-29,36.275001525878906,2011-12-12,36.36000061035156,0.23431862411367188,HARD_STOP_FROM_ENTRY
HNR1.DE,4,2011-12-19,2012-05-14,21,2011-12-21,37.064998626708984,2012-05-14,43.59000015258789,17.604213591355688,TRAILING_STOP
HNR1.DE,5,2012-06-18,2012-09-17,13,2012-06-19,44.790000915527344,2012-09-17,51.189998626708984,14.28889837098206,RSI_BAND_DROP
HNR1.DE,6,2012-10-08,2012-10-29,3,2012-10-10,52.810001373291016,2012-10-29,53.2400016784668,0.8142402840255469,RSI_BAND_DROP
HNR1.DE,7,2012-11-12,2013-01-14,9,2012-11-22,56.77000045776367,2013-01-14,59.47999954223633,4.773646402361531,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND
HNR1.DE,8,2013-03-11,2013-04-01,3,2013-03-12,63.529998779296875,2013-04-02,61.75,-2.8018240413959172,TRAILING_STOP
HNR1.DE,9,2013-04-22,2013-05-06,2,2013-04-23,61.810001373291016,2013-05-06,64.22000122070312,3.899045128404577,TRAILING_STOP
HNR1.DE,10,2013-08-05,2013-08-12,1,2013-08-06,57.18000030517578,2013-08-12,57.18000030517578,0.0,TREND_BREAK_MA40_TWO_NEG_SLOPE
HNR1.DE,11,2013-09-16,2013-10-07,3,2013-09-17,55.439998626708984,2013-10-07,54.349998474121094,-1.9660897900216856,TREND_BREAK_MA40_TWO_NEG_SLOPE
HNR1.DE,12,2013-10-14,2013-12-09,8,2013-10-15,54.560001373291016,2013-12-09,60.58000183105469,11.033724901463572,TRAILING_STOP
HNR1.DE,13,2013-12-16,2014-01-06,3,2013-12-17,60.849998474121094,2014-01-06,61.77000045776367,1.5119178417627221,TRAILING_STOP
HNR1.DE,14,2014-01-13,2014-01-20,1,2014-01-16,62.04999923706055,2014-01-20,62.02000045776367,-0.04834613967079626,TRAILING_STOP
HNR1.DE,15,2014-02-10,2014-05-05,12,2014-02-11,60.43000030517578,2014-05-05,66.44999694824219,9.961933828669522,TRAILING_STOP
HNR1.DE,16,2014-06-30,2014-07-28,4,2014-07-04,66.76000213623047,2014-07-28,65.2300033569336,-2.291789590082338,TRAILING_STOP
HNR1.DE,17,2014-10-27,2015-04-20,25,2014-10-29,64.19999694824219,2015-04-20,99.02999877929688,54.25234187960244,TRAILING_STOP
HNR1.DE,18,2015-07-06,2015-08-17,6,2015-07-10,90.80999755859375,2015-08-17,97.62000274658203,7.4991800143968,TRAILING_STOP
HNR1.DE,19,2015-10-19,2015-12-07,7,2015-10-20,92.69999694824219,2015-12-07,110.69999694824219,19.417476367394126,TRAILING_STOP
HNR1.DE,20,2015-12-14,2016-01-04,3,2015-12-17,110.1500015258789,2016-01-04,103.0,-6.4911497293071445,HARD_STOP_FROM_ENTRY
HNR1.DE,21,2016-03-07,2016-04-25,7,2016-03-11,97.33000183105469,2016-04-25,102.8499984741211,5.671423547949805,TRAILING_STOP
HNR1.DE,22,2016-05-23,2016-06-06,2,2016-05-26,99.31999969482422,2016-06-06,98.58999633789062,-0.7350013684823242,TRAILING_STOP
HNR1.DE,23,2016-09-05,2016-10-03,4,2016-09-06,93.66999816894531,2016-10-04,94.68000030517578,1.0782557446075813,TRAILING_STOP
HNR1.DE,24,2016-10-10,2017-05-08,30,2016-10-14,95.93000030517578,2017-05-08,115.5,20.400291496473955,TRAILING_STOP
HNR1.DE,25,2017-07-03,2017-08-07,5,2017-07-04,106.9000015258789,2017-08-07,109.55000305175781,2.478953683866303,TRAILING_STOP
HNR1.DE,26,2017-10-09,2017-12-18,10,2017-10-11,104.3499984741211,2017-12-18,108.4000015258789,3.8811721236030605,TRAILING_STOP
HNR1.DE,27,2018-01-08,2018-03-19,10,2018-01-09,107.30000305175781,2018-03-19,109.9000015258789,2.423111276955825,TRAILING_STOP
HNR1.DE,28,2018-04-02,2018-05-07,5,2018-04-04,111.5,2018-05-07,118.5999984741211,6.367711635983042,RSI_BAND_DROP
HNR1.DE,29,2018-07-09,2018-10-08,13,2018-07-10,108.69999694824219,2018-10-08,122.30000305175781,12.5115055062893,TRAILING_STOP
HNR1.DE,30,2018-10-15,2018-10-22,1,2018-10-19,119.9000015258789,2018-10-22,120.5999984741211,0.5838172971925237,TRAILING_STOP
HNR1.DE,31,2018-10-29,2018-11-12,2,2018-11-01,118.19999694824219,2018-11-12,123.9000015258789,4.822339022675837,RSI_BAND_DROP
HNR1.DE,32,2018-11-26,2018-12-03,1,,,,,,
HNR1.DE,33,2019-01-07,2019-02-04,4,2019-01-10,121.5999984741211,2019-02-04,127.69999694824219,5.016446176534539,RSI_BAND_DROP
HNR1.DE,34,2019-02-11,2019-03-04,3,2019-02-13,128.5,2019-03-04,131.0,1.9455252918287869,TRAILING_STOP
HNR1.DE,35,2019-03-11,2019-03-18,1,2019-03-15,132.0,2019-03-18,132.39999389648438,0.3030256791548336,TRAILING_STOP
HNR1.DE,36,2019-04-01,2019-04-29,4,2019-04-02,128.6999969482422,2019-04-29,135.6999969482422,5.4390055679761184,RSI_BAND_DROP
HNR1.DE,37,2019-05-20,2019-07-22,9,2019-06-06,137.8000030517578,2019-07-22,142.89999389648438,3.7010092393183758,RSI_BAND_DROP
HNR1.DE,38,2019-08-19,2020-01-06,20,2019-08-20,145.3000030517578,2020-01-06,173.10000610351562,19.132830328885177,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND
HNR1.DE,39,2020-05-04,2020-05-11,1,,,,,,
HNR1.DE,40,2020-05-25,2020-06-15,3,2020-05-26,140.5,2020-06-15,155.5,10.676156583629904,TRAILING_STOP
HNR1.DE,41,2020-06-22,2020-07-27,5,2020-07-03,155.39999389648438,2020-07-27,150.0,-3.4748996837679624,TRAILING_STOP
HNR1.DE,42,2020-11-09,2020-12-07,4,2020-11-10,135.1999969482422,2020-12-07,137.10000610351562,1.4053322471603291,HARD_STOP_FROM_ENTRY
HNR1.DE,43,2021-01-11,2021-01-25,2,2021-01-19,136.8000030517578,2021-01-25,131.60000610351562,-3.8011672750290715,TREND_BREAK_MA40_TWO_NEG_SLOPE
HNR1.DE,44,2021-02-01,2021-05-10,14,2021-02-03,133.3000030517578,2021-05-10,151.39999389648438,13.578387419615211,TRAILING_STOP
HNR1.DE,45,2021-07-05,2021-09-20,11,2021-07-07,145.39999389648438,2021-09-20,150.64999389648438,3.6107291749528425,TRAILING_STOP
HNR1.DE,46,2021-10-25,2021-11-22,4,2021-10-27,156.60000610351562,2021-11-22,159.9499969482422,2.139202244035765,TRAILING_STOP
HNR1.DE,47,2021-12-06,2022-01-17,6,2021-12-07,160.39999389648438,2022-01-17,175.6999969482422,9.538655632139115,TRAILING_STOP
HNR1.DE,48,2022-01-24,2022-01-31,1,2022-01-27,174.85000610351562,2022-01-31,178.0,1.8015406271244316,HARD_STOP_FROM_ENTRY
HNR1.DE,49,2022-02-07,2022-02-28,3,2022-02-16,174.75,2022-02-28,164.8000030517578,-5.693846608436159,HARD_STOP_FROM_ENTRY
HNR1.DE,50,2022-07-04,2022-10-31,17,2022-07-05,141.14999389648438,2022-10-31,164.8000030517578,16.75523214872947,RSI_BAND_DROP
HNR1.DE,51,2023-03-27,2023-06-05,10,2023-03-28,173.39999389648438,2023-06-05,202.1999969482422,16.608998884366,TRAILING_STOP
HNR1.DE,52,2023-07-17,2023-09-25,10,2023-07-18,191.0,2023-09-25,211.8000030517578,10.890053953799894,RSI_BAND_DROP
HNR1.DE,53,2023-10-02,2023-12-11,10,2023-10-13,209.39999389648438,2023-12-11,220.39999389648438,5.253104260087893,RSI_BAND_DROP
HNR1.DE,54,2023-12-18,2024-01-22,5,2024-01-04,219.10000610351562,2024-01-22,228.60000610351562,4.33591955059629,RSI_BAND_DROP
HNR1.DE,55,2024-02-12,2024-04-01,7,2024-02-13,231.39999389648438,2024-04-02,251.1999969482422,8.55661347191532,TRAILING_STOP
HNR1.DE,56,2024-06-17,2024-07-15,4,2024-06-20,235.0,2024-07-15,239.39999389648438,1.872337828291215,TRAILING_STOP
HNR1.DE,57,2024-08-12,2024-10-21,10,2024-08-13,217.1999969482422,2024-10-21,253.1999969482422,16.574585868239524,TRAILING_STOP
HNR1.DE,58,2024-12-02,2024-12-16,2,2024-12-03,251.1999969482422,2024-12-16,253.6999969482422,0.9952229420269854,TRAILING_STOP
HNR1.DE,59,2024-12-30,2025-02-10,6,2025-01-03,246.8000030517578,2025-02-10,252.8000030517578,2.4311182843631096,TRAILING_STOP
HNR1.DE,60,2025-02-24,2025-03-31,5,2025-02-28,256.5,2025-03-31,274.70001220703125,7.095521328277288,TRAILING_STOP
HNR1.DE,61,2025-04-14,2025-06-09,8,2025-04-15,267.6000061035156,2025-06-09,284.20001220703125,6.203290629632585,TRAILING_STOP
HNR1.DE,62,2025-09-29,2025-10-13,2,2025-10-01,255.39999389648438,2025-10-13,260.0,1.8010987523281008,TRAILING_STOP
HNR1.DE,63,2025-11-17,2025-12-01,2,,,,,,
HNR1.DE,64,2025-12-15,2025-12-29,2,2025-12-16,261.20001220703125,2025-12-29,266.6000061035156,2.0673788836595763,TRAILING_STOP
HNR1.DE,65,2026-02-09,2026-03-02,3,2026-02-13,249.8000030517578,2026-03-02,256.20001220703125,2.5620532734530688,TRAILING_STOP
HNR1.DE,66,2026-03-09,,4,2026-03-13,253.39999389648438,2026-04-08,272.0,7.340176223963857,BACKTEST_END
SAP.DE,1,2011-07-25,2011-08-01,1,2011-07-26,42.220001220703125,2011-08-01,42.76499938964844,1.2908530392890416,HARD_STOP_FROM_ENTRY
SAP.DE,2,2011-09-26,2011-12-19,12,2011-09-28,38.46500015258789,2011-12-19,42.13999938964844,9.55413810602388,TREND_BREAK_MA40_TWO_NEG_SLOPE
SAP.DE,3,2012-01-09,2012-04-02,12,2012-01-10,42.5,2012-04-02,53.209999084472656,25.19999784581801,RSI_BAND_DROP
SAP.DE,4,2012-07-09,2012-10-01,12,2012-07-12,48.22999954223633,2012-10-01,55.11000061035156,14.26498265273719,RSI_BAND_DROP
SAP.DE,5,2013-03-11,2013-04-08,4,2013-03-15,64.27999877929688,2013-04-08,60.0099983215332,-6.642813532751557,TRAILING_STOP
SAP.DE,6,2013-04-29,2013-06-10,6,2013-05-03,60.66999816894531,2013-06-10,58.38999938964844,-3.7580333741693117,TRAILING_STOP
SAP.DE,7,2013-08-19,2013-08-26,1,,,,,,
