,open,high,low,close,volume
2024-12-22 23:00:00,17.450000762939453,17.809999465942383,17.209999084472656,17.729999542236328,627024
2024-12-29 23:00:00,17.625,18.40999984741211,17.614999771118164,18.05500030517578,839607
2025-01-05 23:00:00,18.149999618530273,18.30500030517578,17.655000686645508,17.75,1753544
2025-01-12 23:00:00,17.704999923706055,18.399999618530273,17.040000915527344,18.360000610351562,2120823
2025-01-19 23:00:00,18.459999084472656,19.075000762939453,17.90999984741211,18.625,1753744
2025-01-26 23:00:00,18.415000915527344,20.15999984741211,18.360000610351562,19.420000076293945,2339105
2025-02-02 23:00:00,19.100000381469727,19.18000030517578,17.80500030517578,17.850000381469727,2216155
2025-02-09 23:00:00,18.075000762939453,18.270000457763672,17.799999237060547,18.200000762939453,1659360
2025-02-16 23:00:00,18.299999237060547,18.579999923706055,17.834999084472656,18.229999542236328,1758625
2025-02-23 23:00:00,18.399999618530273,19.270000457763672,17.80500030517578,17.80500030517578,3721704
2025-03-02 23:00:00,18.0,18.520000457763672,17.53499984741211,18.264999389648438,3061968
2025-03-09 23:00:00,18.299999237060547,18.700000762939453,17.420000076293945,17.420000076293945,2144424
2025-03-16 23:00:00,17.450000762939453,17.959999084472656,16.25,16.280000686645508,4028283
2025-03-23 23:00:00,16.424999237060547,16.799999237060547,15.975000381469727,16.520000457763672,2854862
2025-03-30 22:00:00,16.31999969482422,16.31999969482422,14.710000038146973,15.0649995803833,3139353
2025-04-06 22:00:00,14.649999618530273,15.989999771118164,14.100000381469727,15.25,3047265
2025-04-13 22:00:00,15.539999961853027,15.739999771118164,14.699999809265137,14.869999885559082,1489504
2025-04-20 22:00:00,15.0,16.459999084472656,14.770000457763672,16.280000686645508,1778933
2025-04-27 22:00:00,16.3700008392334,17.170000076293945,16.25,16.989999771118164,2256624
2025-05-04 22:00:00,17.06999969482422,17.06999969482422,16.280000686645508,16.959999084472656,1583723
2025-05-11 22:00:00,17.1200008392334,17.40999984741211,16.579999923706055,16.719999313354492,2172568
2025-05-18 22:00:00,16.65999984741211,17.040000915527344,16.030000686645508,16.290000915527344,2412884
2025-05-25 22:00:00,16.579999923706055,17.059999465942383,16.239999771118164,16.610000610351562,2265515
2025-06-01 22:00:00,16.600000381469727,17.479999542236328,16.459999084472656,17.1200008392334,2245257
2025-06-08 22:00:00,17.200000762939453,17.450000762939453,16.5,16.6200008392334,3148486
2025-06-15 22:00:00,16.610000610351562,17.200000762939453,16.389999389648438,16.610000610351562,4456585
2025-06-22 22:00:00,16.399999618530273,16.920000076293945,15.970000267028809,16.68000030517578,2225307
2025-06-29 22:00:00,16.84000015258789,17.329999923706055,16.65999984741211,17.190000534057617,2639873
2025-07-06 22:00:00,17.200000762939453,17.209999084472656,16.229999542236328,16.56999969482422,2436938
2025-07-13 22:00:00,16.5,16.6200008392334,15.920000076293945,16.06999969482422,3179048
