Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
BC8.DE,Bechtle AG,stock,Revolut,Euro,WAIT,WAIT,27.40,39.49,37.91,38.4%,Attractive,,3,3,-2.35%,OFF,VALID,OFF,,Lower Quartile,2,72.7%,32.1,30.1,-0.459,0.016,Strong downtrend (ADX high & rising; -DI dominant),41,61.0%,45.5%,4.04%,5405.01%,HARD_STOP_FROM_ENTRY,151%,Late,36.4%,7.3%,-1.83%,Exhausted
BRE.MI,Freni Brembo,stock,Revolut,Euro,WAIT,WAIT,8.08,10.93,10.49,29.9%,Attractive,,16,16,-0.25%,OFF,VALID,OFF,,Lower Quartile,2,83.3%,38.4,36.0,-0.101,0.032,,47,78.7%,66.7%,5.04%,5971.14%,TRAILING_STOP,132%,Late,66.7%,13.3%,2.76%,Exhausted
CAH,Cardinal Health,stock,Revolut,USD,WAIT,WAIT,207.70,257.10,246.82,18.8%,Moderate,,18,18,-1.71%,OFF,NO,OFF,,Lower Quartile,1,78.6%,48.6,39.5,-1.215,-0.191,,54,77.8%,87.5%,5.54%,4412.37%,RSI_BAND_DROP,215%,Late,87.5%,17.5%,16.24%,Exhausted
CAP.PA,CAP,stock,Revolut,Euro,WAIT,WAIT,96.20,173.33,166.40,73.0%,Attractive,,8,8,-1.09%,OFF,NO,OFF,,Lower Quartile,0,54.5%,30.6,30.0,-0.957,-0.131,Lower-low still forming (price still breaking down),44,72.7%,54.5%,3.49%,1891.50%,TRAILING_STOP,194%,Late,43.6%,8.7%,0.40%,Exhausted
CBH.F,Coloplast,stock,Revolut,Euro,WAIT,WAIT,5.60,82.67,79.36,1317.2%,Attractive,,8,8,-0.88%,OFF,NO,OFF,,Lower Quartile,1,100.0%,24.1,35.7,-0.027,0.003,Lower-low still forming (price still breaking down),15,53.3%,57.1%,1.85%,59.06%,TREND_BREAK_MA40_TWO_NEG_SLOPE,231%,Late,45.7%,9.1%,1.75%,Exhausted
DHL.DE,Deutsche Post,stock,Revolut,Euro,WAIT,WAIT,44.72,55.05,52.85,18.2%,Moderate,,24,24,-0.58%,OFF,VALID,OFF,,Lower Quartile,2,100.0%,48.9,40.4,-0.259,0.034,,32,81.2%,80.0%,7.76%,1303.25%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,295%,Late,80.0%,16.0%,6.02%,Exhausted
DIA.MI,Diasorin,stock,Revolut,Euro,WAIT,WAIT,59.22,78.62,75.48,27.4%,Attractive,,12,12,-1.17%,OFF,NO,OFF,,Lower Quartile,0,69.2%,30.9,33.5,-0.552,-0.055,Strong downtrend (ADX high & rising; -DI dominant),51,54.9%,53.8%,2.28%,1297.94%,TREND_BREAK_MA40_TWO_NEG_SLOPE,208%,Late,53.8%,10.8%,0.45%,Exhausted
DLG.MI,De Longhi,stock,Revolut,Euro,WAIT,WAIT,29.42,41.52,39.86,35.5%,Attractive,,12,12,-1.67%,OFF,NO,OFF,,Lower Quartile,2,81.8%,33.9,25.5,-0.554,-0.029,Strong downtrend (ADX high & rising; -DI dominant),44,65.9%,70.0%,4.35%,4784.69%,TRAILING_STOP,193%,Late,56.0%,11.2%,1.89%,Exhausted
DSY.PA,DSY,stock,Revolut,Euro,WAIT,WAIT,16.94,26.84,25.77,52.1%,Attractive,,11,11,0.92%,OFF,VALID,OFF,,Lower Quartile,1,72.7%,24.2,34.3,-0.067,0.005,,41,80.5%,80.0%,7.98%,1913.28%,TRAILING_STOP,194%,Late,80.0%,16.0%,3.84%,Exhausted
DWS.DE,DWS Group GmbH & Co. KGaA,stock,Revolut,Euro,WAIT,WAIT,54.25,71.47,68.61,26.5%,Attractive,,10,10,-1.09%,OFF,VALID,OFF,,Lower Quartile,2,100.0%,47.3,42.6,-0.282,0.062,,19,84.2%,100.0%,12.69%,691.30%,TRAILING_STOP,171%,Late,100.0%,20.0%,13.91%,Exhausted
EMG.L,Man Group,stock,Moneybase,GBP,WAIT,WAIT,2.52,3.18,3.05,21.0%,Attractive,,20,20,0.64%,OFF,VALID,OFF,,Lower Quartile,2,83.3%,53.1,47.2,-1.107,0.430,,46,73.9%,77.8%,2.57%,2819.20%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,467%,Late,77.8%,15.6%,2.69%,Exhausted
EN.PA,EN,stock,Revolut,Euro,WAIT,WAIT,49.33,60.13,57.72,17.0%,Moderate,,24,24,-1.50%,OFF,NO,OFF,,Lower Quartile,1,71.4%,63.4,48.4,-0.096,-0.044,,55,70.9%,63.6%,2.09%,1500.60%,TRAILING_STOP,426%,Late,63.6%,12.7%,1.90%,Exhausted
FDR.MC,Fluidra,stock,Revolut,Euro,WAIT,WAIT,19.82,25.56,24.54,23.8%,Attractive,,16,16,1.07%,OFF,VALID,OFF,,Lower Quartile,1,63.6%,36.1,33.8,-0.171,0.073,,41,63.4%,64.3%,4.10%,4234.38%,HARD_STOP_FROM_ENTRY,110%,Late,64.3%,12.9%,3.27%,Exhausted
