Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
ADBE,Adobe,stock,Revolut,USD,WAIT,WAIT,243.08,389.47,373.89,53.8%,Attractive,⭐,46,46,0.81%,OFF,NO,OFF,,Lower Quartile,2,90.0%,32.7,39.5,-0.087,0.466,,Strong downtrend (ADX high & rising; -DI dominant),40,80.0%,81.8%,5.06%,1836.03%,TRAILING_STOP,66%,Mature,89.1%,57.9%,3.05%,Mid OK
ADSK,Autodesk,stock,Revolut,USD,WAIT,WAIT,239.40,315.66,303.03,26.6%,Attractive,⭐,50,50,1.58%,OFF,NO,OFF,,Lower Quartile,1,66.7%,41.8,45.4,0.140,0.063,,,57,68.4%,75.0%,6.11%,5226.18%,TRAILING_STOP,66%,Mature,75.0%,48.8%,3.34%,Mid OK
AMD,AMD,stock,Revolut,USD,WAIT,WAIT,203.43,216.18,207.53,2.0%,Near Target,,16,16,3.77%,OFF,NO,OFF,,Lower Quartile,2,70.0%,50.5,49.6,0.178,0.159,,,38,68.4%,71.4%,9.79%,113632.57%,HARD_STOP_FROM_ENTRY,143%,Late,71.4%,14.3%,26.52%,Exhausted
AMP.MI,Amplifon,stock,Revolut,Euro,WAIT,WAIT,9.40,13.81,13.26,41.1%,Attractive,,20,20,2.00%,OFF,VALID,OFF,,Lower Quartile,2,81.8%,27.2,38.7,-0.063,0.089,,,43,83.7%,77.8%,5.03%,4635.94%,HARD_STOP_FROM_ENTRY,182%,Late,77.8%,15.6%,1.32%,Exhausted
AMS.MC,Amadeus,stock,Revolut,Euro,WAIT,WAIT,48.68,68.28,65.55,34.7%,Attractive,,16,16,-0.65%,OFF,NO,OFF,,Lower Quartile,1,90.9%,30.9,39.2,-0.064,-0.046,,,43,76.7%,77.8%,2.86%,950.31%,TREND_BREAK_MA40_TWO_NEG_SLOPE,205%,Late,62.2%,12.4%,1.46%,Exhausted
BC8.DE,Bechtle AG,stock,Revolut,Euro,WAIT,WAIT,29.16,39.49,37.91,30.0%,Attractive,,3,3,5.12%,OFF,VALID,OFF,,Lower Quartile,2,72.7%,36.4,41.9,-0.187,0.204,,,41,61.0%,45.5%,4.04%,5405.01%,HARD_STOP_FROM_ENTRY,161%,Late,36.4%,7.3%,-1.83%,Exhausted
BRE.MI,Freni Brembo,stock,Revolut,Euro,WAIT,WAIT,8.11,10.93,10.49,29.3%,Attractive,,16,16,1.00%,OFF,VALID,OFF,,Lower Quartile,2,83.3%,38.8,37.5,-0.074,0.034,,,47,78.7%,66.7%,5.04%,5971.14%,TRAILING_STOP,141%,Late,66.7%,13.3%,2.76%,Exhausted
CAH,Cardinal Health,stock,Revolut,USD,WAIT,WAIT,211.31,257.10,246.82,16.8%,Moderate,,18,18,2.42%,OFF,NO,OFF,,Lower Quartile,1,78.6%,51.8,46.4,-0.706,0.326,,,54,77.8%,87.5%,5.54%,4412.37%,RSI_BAND_DROP,226%,Late,87.5%,17.5%,16.24%,Exhausted
CAP.PA,CAP,stock,Revolut,Euro,WAIT,WAIT,100.50,173.33,166.40,65.6%,Attractive,,8,8,2.68%,OFF,VALID,OFF,,Lower Quartile,0,54.5%,34.7,42.4,-0.302,0.363,,,44,72.7%,54.5%,3.49%,1891.50%,TRAILING_STOP,204%,Late,43.6%,8.7%,0.40%,Exhausted
CBH.F,Coloplast,stock,Revolut,Euro,WAIT,WAIT,5.65,82.67,79.36,1304.7%,Attractive,,8,8,0.89%,OFF,VALID,OFF,,Lower Quartile,1,100.0%,26.2,39.5,-0.012,0.010,,,15,53.3%,57.1%,1.85%,59.06%,TREND_BREAK_MA40_TWO_NEG_SLOPE,246%,Late,45.7%,9.1%,1.75%,Exhausted
DHL.DE,Deutsche Post,stock,Revolut,Euro,WAIT,WAIT,44.75,55.05,52.85,18.1%,Moderate,,24,24,0.09%,OFF,VALID,OFF,,Lower Quartile,2,100.0%,49.1,42.2,-0.204,0.053,,,32,81.2%,80.0%,7.76%,1303.25%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,304%,Late,80.0%,16.0%,6.02%,Exhausted
DIA.MI,Diasorin,stock,Revolut,Euro,WAIT,WAIT,59.98,78.62,75.48,25.8%,Attractive,,12,12,1.66%,OFF,NO,OFF,,Lower Quartile,0,69.2%,33.6,38.1,-0.315,0.135,,Strong downtrend (ADX high & rising; -DI dominant),51,54.9%,53.8%,2.28%,1297.94%,TREND_BREAK_MA40_TWO_NEG_SLOPE,218%,Late,53.8%,10.8%,0.45%,Exhausted
DLG.MI,De Longhi,stock,Revolut,Euro,WAIT,WAIT,29.98,41.52,39.86,33.0%,Attractive,,12,12,4.10%,OFF,NO,OFF,,Lower Quartile,2,81.8%,36.8,33.5,-0.386,0.106,,Strong downtrend (ADX high & rising; -DI dominant),44,65.9%,70.0%,4.35%,4784.69%,TRAILING_STOP,205%,Late,56.0%,11.2%,1.89%,Exhausted
DSY.PA,DSY,stock,Revolut,Euro,WAIT,WAIT,17.27,26.84,25.77,49.2%,Attractive,,11,11,1.95%,OFF,VALID,OFF,,Lower Quartile,1,72.7%,27.9,41.7,0.010,0.052,,,41,80.5%,80.0%,7.98%,1913.28%,TRAILING_STOP,204%,Late,80.0%,16.0%,3.84%,Exhausted
DTE.DE,Deutsche Telekom AG,stock,Revolut,Euro,WAIT,WAIT,31.95,39.32,37.75,18.1%,Moderate,,24,24,-0.96%,OFF,NO,OFF,,Lower Quartile,1,86.7%,57.5,48.2,-0.003,-0.029,,,59,69.5%,81.8%,2.48%,2030.04%,TRAILING_STOP,186%,Late,81.8%,16.4%,4.63%,Exhausted
DWS.DE,DWS Group GmbH & Co. KGaA,stock,Revolut,Euro,WAIT,WAIT,54.35,71.47,68.61,26.2%,Attractive,,10,10,1.12%,OFF,VALID,OFF,,Lower Quartile,2,100.0%,47.6,44.3,-0.212,0.087,,,19,84.2%,100.0%,12.69%,691.30%,TRAILING_STOP,180%,Late,100.0%,20.0%,13.91%,Exhausted
EMG.L,Man Group,stock,Moneybase,GBP,WAIT,WAIT,2.52,3.18,3.05,21.3%,Attractive,,20,20,1.37%,OFF,VALID,OFF,,Lower Quartile,2,83.3%,52.9,47.5,-0.945,0.381,,,46,73.9%,77.8%,2.57%,2819.20%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,479%,Late,77.8%,15.6%,2.69%,Exhausted
EN.PA,EN,stock,Revolut,Euro,WAIT,WAIT,49.41,60.13,57.72,16.8%,Moderate,,24,24,0.92%,OFF,NO,OFF,,Lower Quartile,1,71.4%,63.7,49.6,-0.092,-0.004,,,55,70.9%,63.6%,2.09%,1500.60%,TRAILING_STOP,438%,Late,63.6%,12.7%,1.90%,Exhausted
FDR.MC,Fluidra,stock,Revolut,Euro,WAIT,WAIT,19.77,25.56,24.54,24.1%,Attractive,,16,16,-1.54%,OFF,NO,OFF,,Lower Quartile,1,63.6%,36.4,34.9,-0.133,0.051,,Lower-low still forming (price still breaking down),41,63.4%,64.3%,4.10%,4234.38%,HARD_STOP_FROM_ENTRY,121%,Late,64.3%,12.9%,3.27%,Exhausted
FME.DE,Fresenius Medical Care,stock,Revolut,Euro,WAIT,WAIT,38.57,56.81,54.54,41.4%,Attractive,,20,20,-0.82%,OFF,NO,OFF,,Lower Quartile,1,75.0%,41.5,46.1,0.014,0.008,,,46,71.7%,77.8%,2.42%,669.89%,TRAILING_STOP,121%,Late,77.8%,15.6%,3.11%,Exhausted
GEST.MC,Gestamp Automocion,stock,Revolut,Euro,WAIT,WAIT,2.94,3.75,3.60,22.4%,Attractive,,3,3,0.27%,OFF,NO,OFF,,Lower Quartile,2,85.7%,42.9,39.8,-0.009,-0.003,,,27,55.6%,45.5%,1.23%,320.51%,TREND_BREAK_MA40_TWO_NEG_SLOPE,246%,Late,45.5%,9.1%,0.00%,Exhausted
GRF.MC,Grifols,stock,Revolut,Euro,WAIT,WAIT,8.96,12.48,11.98,33.8%,Attractive,,25,25,1.52%,OFF,VALID,OFF,,Lower Quartile,0,53.8%,31.6,35.8,-0.053,0.031,,,52,69.2%,70.0%,3.40%,5071.89%,HARD_STOP_FROM_ENTRY,266%,Late,70.0%,14.0%,7.46%,Exhausted
HYQ.DE,Hypoport SE,stock,Revolut,Euro,WAIT,WAIT,70.90,117.04,112.36,58.5%,Attractive,,13,13,-0.70%,OFF,NO,OFF,,Lower Quartile,1,61.5%,26.5,32.4,-0.240,-0.098,,,50,64.0%,50.0%,6.66%,108961.69%,HARD_STOP_FROM_ENTRY,78%,Late,50.0%,20.0%,-0.11%,Exhausted
IP.MI,Interpump,stock,Revolut,Euro,WAIT,WAIT,32.40,41.97,40.29,24.4%,Attractive,,21,21,-0.67%,OFF,NO,OFF,,Lower Quartile,2,80.0%,33.0,34.7,-0.348,0.109,,Lower-low still forming (price still breaking down),38,78.9%,88.9%,6.90%,6256.71%,TRAILING_STOP,291%,Late,88.9%,17.8%,11.91%,Exhausted
KNOS.L,Kainos Group,stock,Moneybase,GBP,WAIT,WAIT,7.30,10.75,10.32,41.4%,Attractive,,3,3,2.96%,OFF,VALID,OFF,,Lower Quartile,1,50.0%,38.7,45.2,-2.903,1.774,,,32,59.4%,42.9%,5.56%,1645.57%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,569%,Late,42.9%,8.6%,-0.43%,Exhausted
MAP.MC,Mapfre,stock,Revolut,Euro,WAIT,WAIT,3.81,4.73,4.54,19.1%,Moderate,,29,29,0.95%,OFF,VALID,OFF,,Normal Range,0,67.9%,48.6,54.3,-0.001,0.009,,,58,70.7%,85.7%,2.46%,1505.46%,RSI_BAND_DROP,238%,Late,85.7%,17.1%,8.91%,Exhausted
MC.PA,MC,stock,Revolut,Euro,WAIT,WAIT,463.10,632.78,607.47,31.2%,Attractive,,12,12,-0.12%,OFF,VALID,OFF,,Lower Quartile,1,66.7%,33.5,33.8,-2.871,1.022,,,47,70.2%,55.6%,5.08%,3680.39%,RSI_BAND_DROP,547%,Late,55.6%,11.1%,2.33%,Exhausted
MONY.L,Moneysupermarket,stock,Moneybase,GBP,WAIT,WAIT,1.50,2.96,2.84,89.2%,Attractive,,18,18,0.20%,OFF,NO,OFF,,Lower Quartile,1,72.7%,34.8,37.8,-0.605,-0.198,,,41,56.1%,50.0%,2.61%,655.07%,TREND_BREAK_MA40_TWO_NEG_SLOPE,71%,Mature,40.0%,16.0%,0.38%,Late Risk
MRK.DE,Merck,stock,Revolut,Euro,WAIT,WAIT,107.60,135.51,130.09,20.9%,Attractive,,16,16,0.19%,OFF,VALID,OFF,,Lower Quartile,1,66.7%,40.1,41.3,-0.510,0.326,,,46,67.4%,61.5%,6.27%,2307.20%,HARD_STOP_FROM_ENTRY,104%,Late,61.5%,12.3%,3.15%,Exhausted
MSFT,MICROSOFT,stock,Revolut,USD,WAIT,WAIT,370.17,475.11,456.11,23.2%,Attractive,⭐,51,51,3.12%,OFF,NO,OFF,,Lower Quartile,2,83.3%,31.9,36.1,-0.482,0.440,,Strong downtrend (ADX high & rising; -DI dominant),46,76.1%,70.0%,5.90%,3833.11%,TREND_BREAK_MA40_TWO_NEG_SLOPE,54%,Mature,62.0%,40.3%,4.59%,Mid OK
NOV.DE,Novo Nordisk B,stock,Revolut,Euro,WAIT,WAIT,31.04,55.19,52.98,70.7%,Attractive,,3,3,0.16%,OFF,NO,OFF,,Lower Quartile,1,69.2%,33.9,33.3,-0.157,0.064,,,52,67.3%,40.0%,2.32%,2822.22%,TRAILING_STOP,386%,Late,40.0%,8.0%,-2.10%,Exhausted
NVDA,NVIDIA,stock,Revolut,USD,WAIT,WAIT,174.40,223.82,214.87,23.2%,Attractive,,10,10,5.59%,OFF,NO,OFF,,Lower Quartile,2,72.7%,47.4,45.8,0.069,0.285,,,41,85.4%,87.5%,7.76%,102381.02%,TRAILING_STOP,210%,Late,87.5%,17.5%,19.90%,Exhausted
P911.DE,Dr Ing hc F Porsche Prf,stock,Revolut,Euro,WAIT,WAIT,38.73,49.86,47.87,23.6%,Attractive,,3,3,1.87%,OFF,VALID,OFF,,Lower Quartile,0,50.0%,41.3,52.4,0.042,0.150,,,8,25.0%,25.0%,-1.49%,-4.55%,HARD_STOP_FROM_ENTRY,864%,Late,15.0%,3.0%,-2.12%,Exhausted
PIRC.MI,Pirelli & C,stock,Revolut,Euro,WAIT,WAIT,5.90,7.89,7.57,28.3%,Attractive,,25,25,0.07%,OFF,VALID,OFF,,Lower Quartile,2,83.3%,46.9,49.8,-0.007,0.013,,,22,72.7%,72.7%,3.44%,218.75%,TRAILING_STOP,307%,Late,78.2%,15.6%,4.21%,Exhausted
QCOM,Qualcomm,stock,Revolut,USD,WAIT,WAIT,128.78,174.55,167.57,30.1%,Attractive,,36,36,1.35%,OFF,VALID,OFF,,Lower Quartile,1,83.3%,32.8,37.2,-0.056,0.195,,Lower-low still forming (price still breaking down),47,80.9%,71.4%,3.68%,5564.59%,TREND_BREAK_MA40_TWO_NEG_SLOPE,71%,Mature,57.1%,22.8%,2.38%,Mid OK
RAT.L,Rathbones,stock,Moneybase,GBP,WAIT,WAIT,19.90,26.89,25.81,29.7%,Attractive,,16,16,-0.30%,OFF,NO,OFF,,Lower Quartile,0,66.7%,41.9,37.9,-10.612,-1.123,,,45,71.1%,62.5%,3.50%,922.29%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,253%,Late,62.5%,12.5%,2.77%,Exhausted
SN.L,Smith & Nephew,stock,Moneybase,GBP,WAIT,WAIT,11.85,15.04,14.44,21.8%,Attractive,,21,21,-1.29%,OFF,NO,OFF,,Lower Quartile,1,76.9%,38.9,35.7,-5.658,-0.675,,Lower-low still forming (price still breaking down),52,75.0%,91.7%,3.98%,1363.07%,RSI_BAND_DROP,218%,Late,91.7%,18.3%,10.24%,Exhausted
SSPG.L,SSP Group,stock,Moneybase,GBP,WAIT,WAIT,1.75,2.36,2.27,29.5%,Attractive,,3,3,0.58%,OFF,NO,OFF,,Lower Quartile,1,55.6%,47.4,41.7,-0.959,0.152,,,36,69.4%,40.0%,2.20%,1008.88%,HARD_STOP_FROM_ENTRY,140%,Late,40.0%,8.0%,-0.49%,Exhausted
T2V1.F,Tryg,stock,Revolut,Euro,WAIT,WAIT,20.36,28.15,27.02,32.7%,Attractive,,16,16,1.50%,OFF,VALID,OFF,,Lower Quartile,0,66.7%,44.6,49.2,0.003,0.017,,,46,80.4%,69.2%,3.77%,862.00%,TRAILING_STOP,271%,Late,69.2%,13.8%,3.40%,Exhausted
TEP.PA,TEP,stock,Revolut,Euro,WAIT,WAIT,50.28,83.81,80.46,60.0%,Attractive,,19,19,3.33%,OFF,VALID,OFF,,Lower Quartile,0,63.6%,37.6,48.7,0.113,0.211,,,41,63.4%,40.0%,6.28%,2518.39%,HARD_STOP_FROM_ENTRY,54%,Mature,24.0%,15.6%,-1.96%,Late Risk
TRE.MC,Tecnicas Reunidas,stock,Revolut,Euro,WAIT,WAIT,30.46,34.93,33.53,10.1%,Moderate,,25,25,2.63%,OFF,NO,OFF,,Lower Quartile,1,64.3%,53.7,50.4,-0.117,0.100,,,55,65.5%,62.5%,2.14%,3350.10%,TRAILING_STOP,188%,Late,70.0%,14.0%,3.76%,Exhausted
UPS,United Parcel Service,stock,Revolut,USD,WAIT,WAIT,98.38,118.21,113.48,15.4%,Moderate,,24,24,3.61%,OFF,NO,OFF,,Lower Quartile,2,100.0%,41.9,41.4,-0.376,0.316,,,46,89.1%,90.9%,4.36%,2243.99%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,321%,Late,90.9%,18.2%,4.41%,Exhausted
XYZ,XYZ,stock,Revolut,USD,WAIT,WAIT,60.18,76.20,73.15,21.6%,Attractive,⭐,56,56,5.52%,OFF,NO,OFF,,Lower Quartile,2,71.4%,47.0,51.3,0.185,0.118,,,25,76.0%,70.0%,12.96%,5823.05%,HARD_STOP_FROM_ENTRY,70%,Mature,70.0%,45.5%,12.46%,Mid OK
