Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
ROP,Roper Technologies,stock,Revolut,USD,BLOCKED,IN_POS,351.96,460.58,442.16,25.6%,Attractive,,19,19,2.19%,ON,VALID,OFF,,Lower Quartile,2,72.7%,37.9,48.8,1.610,0.375,,Lower-low still forming (price still breaking down),42,66.7%,44.4%,3.29%,943.47%,BACKTEST_END,62%,Mature,44.4%,28.9%,-1.18%,Late Risk
SAN.PA,SAN,stock,Revolut,Euro,BLOCKED,BLOCKED,81.90,113.44,108.90,33.0%,Attractive,⭐⭐⭐,95,95,-0.11%,ON,VALID,OPEN,,Extended,0,66.7%,50.0,63.5,0.293,0.228,,Volatility still expanding on down closes (ATR rising),53,75.5%,80.0%,3.44%,1105.51%,TREND_BREAK_MA40_TWO_NEG_SLOPE,3%,Fresh,100.0%,100.0%,8.33%,Early Edge
VUAA.MI,Vanguard S&P 500 UCITS ETF USD Accumulation,etf,Revolut,Euro,IN_POS,WAIT,107.68,,,,No Target,⭐⭐,5,5,,,NO,,,ETF Pullback,,77.8%,,32.5,,-0.415,2.65x [strong],"drawdown_macd_turn, rsi14=32.46, rsi_sup=58.99, dd20=0.052, dd_th=0.020, bullish_day",22,77.8%,77.8%,13.82%,16.59%,"drawdown_macd_turn, rsi14=32.46, rsi_sup=58.99, dd20=0.052, dd_th=0.020, bullish_day",,,,,,
BPCR.L,BioPharma Credit,stock,Moneybase,GBP,WATCH,IN_POS,0.93,0.98,0.94,0.7%,Near Target,,13,13,-0.43%,ON,NO,OFF,,Lower Quartile,-2,20.0%,55.1,49.3,-0.000,-0.000,,Lower-low still forming (price still breaking down),17,52.9%,63.6%,0.21%,17.77%,BACKTEST_END,102%,Late,63.6%,12.7%,0.47%,Exhausted
DTE.DE,Deutsche Telekom AG,stock,Revolut,Euro,WATCH,WATCH,32.26,39.32,37.75,17.0%,Moderate,⭐⭐⭐,96,96,1.80%,ON,NO,OPEN,,Lower Quartile,1,86.7%,58.6,50.9,0.022,-0.005,,,59,69.5%,81.8%,2.48%,2030.04%,TRAILING_STOP,3%,Fresh,88.9%,88.9%,14.13%,Early Edge
FISV,Fiserv,stock,Revolut,USD,WATCH,WATCH,54.53,96.40,92.54,69.7%,Attractive,⭐⭐,67,67,1.17%,ON,NO,OFF,,Lower Quartile,0,66.7%,26.6,35.0,0.254,-0.060,,,45,77.8%,57.1%,7.59%,1750.36%,HARD_STOP_FROM_ENTRY,2%,Fresh,57.1%,57.1%,7.34%,Mid OK
INTU,Intuit,stock,Revolut,USD,WATCH,WATCH,429.03,636.28,610.83,42.4%,Attractive,⭐⭐⭐,87,87,3.02%,ON,NO,OFF,,Lower Quartile,0,63.6%,38.8,45.3,1.968,-0.337,,,42,78.6%,63.6%,8.11%,3567.71%,HARD_STOP_FROM_ENTRY,2%,Fresh,75.0%,75.0%,7.28%,Early Edge
MEL.MC,Melia Hotels,stock,Revolut,Euro,WATCH,IN_POS,9.45,11.15,10.70,13.3%,Moderate,,24,24,0.00%,ON,NO,OFF,,Extended,2,87.5%,74.0,68.2,0.061,-0.003,,Lower-low still forming (price still breaking down),45,68.9%,81.8%,4.32%,2995.76%,BACKTEST_END,119%,Late,81.8%,16.4%,6.95%,Exhausted
PRY.MI,Prysmian,stock,Revolut,Euro,WATCH,IN_POS,94.96,49.54,47.56,-49.9%,Above Target,,18,18,0.96%,ON,NO,OFF,,Lower Quartile,2,78.6%,56.7,45.0,-0.436,-0.061,,,53,73.6%,63.6%,5.42%,7233.89%,BACKTEST_END,219%,Late,63.6%,12.7%,4.10%,Exhausted
REP.MC,Repsol,stock,Revolut,Euro,WATCH,IN_POS,24.23,28.94,27.78,14.7%,Moderate,,27,27,0.66%,ON,NO,OFF,,Extended,0,50.0%,84.4,69.6,0.178,-0.035,,,48,58.3%,72.7%,3.19%,1305.99%,BACKTEST_END,219%,Late,72.7%,14.5%,13.55%,Exhausted
SCR.PA,SCOR SE,stock,Revolut,Euro,WATCH,IN_POS,30.46,3.30,3.17,-89.6%,Above Target,,18,18,0.79%,ON,NO,OPEN,,Normal Range,2,72.0%,58.6,54.9,0.040,-0.013,,Lower-low still forming (price still breaking down),53,67.9%,85.7%,3.20%,1977.25%,BACKTEST_END,252%,Late,68.6%,13.7%,6.80%,Exhausted
0B2.F,Bawag,stock,Revolut,Euro,WAIT,WAIT,127.50,102.45,98.35,-22.9%,Above Target,,27,27,0.71%,OFF,NO,OFF,,Lower Quartile,2,80.0%,55.2,49.6,-0.274,0.113,,Lower-low still forming (price still breaking down),19,73.7%,75.0%,6.09%,498.21%,TRAILING_STOP,302%,Late,75.0%,15.0%,11.98%,Exhausted
1ZAL.MI,Zalando SE,stock,Revolut,Euro,WAIT,WAIT,20.18,34.82,33.43,65.6%,Attractive,⭐,51,51,-0.05%,OFF,NO,OFF,,Limited history,0,,38.8,40.6,-0.072,-0.089,,Lower-low still forming (price still breaking down),3,100.0%,100.0%,5.04%,17.27%,HARD_STOP_FROM_ENTRY,52%,Mature,100.0%,65.0%,5.04%,Mid OK
3P7.DE,Pandora,stock,Revolut,Euro,WAIT,WAIT,61.86,94.75,90.96,47.0%,Attractive,,25,25,0.16%,OFF,NO,OFF,,Limited history,0,,26.6,43.2,0.228,0.132,,,0,,,,,Insufficient history,,Limited history,,,,Limited history
8ZI.DU,Scandinavian Tobacco,stock,Revolut,Euro,WAIT,WAIT,8.90,13.40,12.86,44.5%,Attractive,,16,16,1.14%,OFF,NO,OFF,,Lower Quartile,1,75.0%,27.3,28.0,-0.123,0.045,,Lower-low still forming (price still breaking down),13,69.2%,69.2%,2.17%,51.53%,HARD_STOP_FROM_ENTRY,239%,Late,69.2%,13.8%,2.17%,Exhausted
AAPL,Apple,stock,Revolut,USD,WAIT,WAIT,246.63,218.79,210.04,-14.8%,Above Target,,30,30,-0.87%,OFF,NO,OFF,,Lower Quartile,2,81.8%,43.2,35.5,-0.437,-0.211,,Lower-low still forming (price still breaking down),42,71.4%,58.3%,11.10%,10242.81%,TRAILING_STOP,74%,Mature,55.0%,22.0%,2.70%,Mid OK
AC.PA,AC,stock,Revolut,Euro,WAIT,WAIT,40.05,50.04,48.04,19.9%,Moderate,,18,18,-0.94%,OFF,NO,OFF,,Lower Quartile,2,71.4%,36.5,36.1,-0.288,0.023,,Lower-low still forming (price still breaking down),53,67.9%,88.9%,4.97%,2840.07%,TRAILING_STOP,386%,Late,88.9%,17.8%,13.59%,Exhausted
ADBE,Adobe,stock,Revolut,USD,WAIT,WAIT,241.13,389.47,373.89,55.1%,Attractive,⭐,46,46,2.68%,OFF,NO,OFF,,Lower Quartile,2,90.0%,31.6,37.6,-0.242,0.257,,Strong downtrend (ADX high & rising; -DI dominant),40,80.0%,81.8%,5.06%,1836.03%,TRAILING_STOP,64%,Mature,89.1%,57.9%,3.05%,Mid OK
ADSK,Autodesk,stock,Revolut,USD,WAIT,WAIT,235.68,315.66,303.03,28.6%,Attractive,⭐,50,50,2.54%,OFF,NO,OFF,,Lower Quartile,1,66.7%,39.9,41.8,-0.157,-0.344,,,57,68.4%,75.0%,6.11%,5226.18%,TRAILING_STOP,64%,Mature,75.0%,48.8%,3.34%,Mid OK
AMD,AMD,stock,Revolut,USD,WAIT,WAIT,196.04,216.18,207.53,5.9%,Near Target,,20,20,-2.95%,OFF,NO,OFF,,Lower Quartile,2,70.0%,46.9,44.7,-0.411,-0.568,,Lower-low still forming (price still breaking down),38,68.4%,71.4%,9.79%,113632.57%,HARD_STOP_FROM_ENTRY,141%,Late,71.4%,14.3%,26.52%,Exhausted
AMP.MI,Amplifon,stock,Revolut,Euro,WAIT,WAIT,9.21,13.81,13.26,43.9%,Attractive,,20,20,1.10%,OFF,VALID,OFF,,Lower Quartile,2,81.8%,25.6,35.5,-0.078,0.081,,,43,83.7%,77.8%,5.03%,4635.94%,HARD_STOP_FROM_ENTRY,180%,Late,77.8%,15.6%,1.32%,Exhausted
AMS.MC,Amadeus,stock,Revolut,Euro,WAIT,WAIT,49.00,68.28,65.55,33.8%,Attractive,,16,16,0.82%,OFF,NO,OFF,,Lower Quartile,1,90.9%,31.7,40.4,-0.038,-0.039,,,43,76.7%,77.8%,2.86%,950.31%,TREND_BREAK_MA40_TWO_NEG_SLOPE,202%,Late,62.2%,12.4%,1.46%,Exhausted
BC8.DE,Bechtle AG,stock,Revolut,Euro,WAIT,WAIT,27.74,39.49,37.91,36.7%,Attractive,,3,3,1.69%,OFF,NO,OFF,,Lower Quartile,2,72.7%,33.0,33.0,-0.301,0.085,,Strong downtrend (ADX high & rising; -DI dominant),41,61.0%,45.5%,4.04%,5405.01%,HARD_STOP_FROM_ENTRY,159%,Late,36.4%,7.3%,-1.83%,Exhausted
BRE.MI,Freni Brembo,stock,Revolut,Euro,WAIT,WAIT,8.03,10.93,10.49,30.6%,Attractive,,16,16,-0.37%,OFF,VALID,OFF,,Lower Quartile,2,83.3%,38.0,35.3,-0.081,0.027,,,47,78.7%,66.7%,5.04%,5971.14%,TRAILING_STOP,139%,Late,66.7%,13.3%,2.76%,Exhausted
CAH,Cardinal Health,stock,Revolut,USD,WAIT,WAIT,206.31,257.10,246.82,19.6%,Moderate,,18,18,-0.13%,OFF,NO,OFF,,Lower Quartile,1,78.6%,47.5,38.0,-1.105,-0.143,,,54,77.8%,87.5%,5.54%,4412.37%,RSI_BAND_DROP,224%,Late,87.5%,17.5%,16.24%,Exhausted
CAP.PA,CAP,stock,Revolut,Euro,WAIT,WAIT,97.88,173.33,166.40,70.0%,Attractive,,8,8,1.75%,OFF,NO,OFF,,Lower Quartile,0,54.5%,32.3,35.2,-0.511,0.138,,Strong downtrend (ADX high & rising; -DI dominant),44,72.7%,54.5%,3.49%,1891.50%,TRAILING_STOP,202%,Late,43.6%,8.7%,0.40%,Exhausted
CBH.F,Coloplast,stock,Revolut,Euro,WAIT,WAIT,5.60,82.67,79.36,1317.2%,Attractive,,8,8,-1.75%,OFF,NO,OFF,,Lower Quartile,1,100.0%,25.8,37.3,-0.016,0.005,,,15,53.3%,57.1%,1.85%,59.06%,TREND_BREAK_MA40_TWO_NEG_SLOPE,243%,Late,45.7%,9.1%,1.75%,Exhausted
DHL.DE,Deutsche Post,stock,Revolut,Euro,WAIT,WAIT,44.71,55.05,52.85,18.2%,Moderate,,24,24,1.22%,OFF,VALID,OFF,,Lower Quartile,2,100.0%,49.0,41.9,-0.207,0.050,,Lower-low still forming (price still breaking down),32,81.2%,80.0%,7.76%,1303.25%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,302%,Late,80.0%,16.0%,6.02%,Exhausted
DIA.MI,Diasorin,stock,Revolut,Euro,WAIT,WAIT,59.00,78.62,75.48,27.9%,Attractive,,12,12,1.27%,OFF,VALID,OFF,,Lower Quartile,0,69.2%,31.6,34.5,-0.393,0.028,,Lower-low still forming (price still breaking down),51,54.9%,53.8%,2.28%,1297.94%,TREND_BREAK_MA40_TWO_NEG_SLOPE,216%,Late,53.8%,10.8%,0.45%,Exhausted
DLG.MI,De Longhi,stock,Revolut,Euro,WAIT,WAIT,28.80,41.52,39.86,38.4%,Attractive,,12,12,-0.96%,OFF,NO,OFF,,Lower Quartile,2,81.8%,32.7,23.8,-0.480,-0.017,,Lower-low still forming (price still breaking down),44,65.9%,70.0%,4.35%,4784.69%,TRAILING_STOP,202%,Late,56.0%,11.2%,1.89%,Exhausted
DSY.PA,DSY,stock,Revolut,Euro,WAIT,WAIT,16.94,26.84,25.77,52.1%,Attractive,,11,11,2.02%,OFF,VALID,OFF,,Lower Quartile,1,72.7%,25.8,36.9,-0.016,0.023,,Lower-low still forming (price still breaking down),41,80.5%,80.0%,7.98%,1913.28%,TRAILING_STOP,202%,Late,80.0%,16.0%,3.84%,Exhausted
DWS.DE,DWS Group GmbH & Co. KGaA,stock,Revolut,Euro,WAIT,WAIT,53.75,71.47,68.61,27.6%,Attractive,,10,10,0.19%,OFF,NO,OFF,,Lower Quartile,2,100.0%,46.2,41.0,-0.260,0.033,,Lower-low still forming (price still breaking down),19,84.2%,100.0%,12.69%,691.30%,TRAILING_STOP,178%,Late,100.0%,20.0%,13.91%,Exhausted
EMG.L,Man Group,stock,Moneybase,GBP,WAIT,WAIT,2.48,3.18,3.05,23.0%,Attractive,,20,20,-0.16%,OFF,NO,OFF,,Lower Quartile,2,83.3%,50.7,43.9,-1.216,0.086,,Lower-low still forming (price still breaking down),46,73.9%,77.8%,2.57%,2819.20%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,476%,Late,77.8%,15.6%,2.69%,Exhausted
EN.PA,EN,stock,Revolut,Euro,WAIT,WAIT,48.96,60.13,57.72,17.9%,Moderate,,24,24,0.08%,OFF,NO,OFF,,Lower Quartile,1,71.4%,62.6,46.0,-0.128,-0.051,,,55,70.9%,63.6%,2.09%,1500.60%,TRAILING_STOP,436%,Late,63.6%,12.7%,1.90%,Exhausted
FDR.MC,Fluidra,stock,Revolut,Euro,WAIT,WAIT,20.08,25.56,24.54,22.2%,Attractive,,16,16,0.20%,OFF,VALID,OFF,,Lower Quartile,1,63.6%,37.5,37.8,-0.109,0.083,,,41,63.4%,64.3%,4.10%,4234.38%,HARD_STOP_FROM_ENTRY,119%,Late,64.3%,12.9%,3.27%,Exhausted
FME.DE,Fresenius Medical Care,stock,Revolut,Euro,WAIT,WAIT,38.89,56.81,54.54,40.2%,Attractive,,20,20,0.91%,OFF,VALID,OFF,,Lower Quartile,1,75.0%,43.0,48.5,0.039,0.038,,,46,71.7%,77.8%,2.42%,669.89%,TRAILING_STOP,119%,Late,77.8%,15.6%,3.11%,Exhausted
GEST.MC,Gestamp Automocion,stock,Revolut,Euro,WAIT,WAIT,2.93,3.75,3.60,22.8%,Attractive,,3,3,-2.07%,OFF,NO,OFF,,Lower Quartile,2,85.7%,42.5,38.8,-0.009,-0.005,,Lower-low still forming (price still breaking down),27,55.6%,45.5%,1.23%,320.51%,TREND_BREAK_MA40_TWO_NEG_SLOPE,243%,Late,45.5%,9.1%,0.00%,Exhausted
GRF.MC,Grifols,stock,Revolut,Euro,WAIT,WAIT,8.82,12.48,11.98,35.8%,Attractive,,25,25,1.08%,OFF,VALID,OFF,,Lower Quartile,0,53.8%,29.4,31.4,-0.064,0.018,,Lower-low still forming (price still breaking down),52,69.2%,70.0%,3.40%,5071.89%,HARD_STOP_FROM_ENTRY,263%,Late,70.0%,14.0%,7.46%,Exhausted
HYQ.DE,Hypoport SE,stock,Revolut,Euro,WAIT,WAIT,71.40,117.04,112.36,57.4%,Attractive,,13,13,1.42%,OFF,NO,OFF,,Lower Quartile,1,61.5%,26.9,33.0,-0.201,-0.145,,Lower-low still forming (price still breaking down),50,64.0%,50.0%,6.66%,108961.69%,HARD_STOP_FROM_ENTRY,75%,Late,50.0%,20.0%,-0.11%,Exhausted
IP.MI,Interpump,stock,Revolut,Euro,WAIT,WAIT,32.62,41.97,40.29,23.5%,Attractive,,21,21,0.00%,OFF,NO,OFF,,Lower Quartile,2,80.0%,33.3,35.4,-0.331,0.129,,Lower-low still forming (price still breaking down),38,78.9%,88.9%,6.90%,6256.71%,TRAILING_STOP,289%,Late,88.9%,17.8%,11.91%,Exhausted
KNOS.L,Kainos Group,stock,Moneybase,GBP,WAIT,WAIT,7.09,10.75,10.32,45.6%,Attractive,,3,3,0.71%,OFF,NO,OFF,,Lower Quartile,1,50.0%,36.1,38.7,-4.578,-0.175,,Lower-low still forming (price still breaking down),32,59.4%,42.9%,5.56%,1645.57%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,566%,Late,42.9%,8.6%,-0.43%,Exhausted
KO,Coca-Cola Co,stock,Revolut,USD,WAIT,WAIT,76.27,72.44,69.54,-8.8%,Above Target,,22,22,0.74%,OFF,VALID,OFF,,Lower Quartile,1,76.9%,53.5,48.2,-0.085,0.076,,,49,71.4%,70.0%,3.12%,543.71%,TRAILING_STOP,132%,Late,70.0%,14.0%,6.02%,Exhausted
MAP.MC,Mapfre,stock,Revolut,Euro,WAIT,WAIT,3.78,4.73,4.54,20.2%,Attractive,,21,21,1.18%,OFF,VALID,OFF,,Normal Range,0,67.9%,47.2,51.1,-0.004,0.007,,,58,70.7%,85.7%,2.46%,1505.46%,RSI_BAND_DROP,236%,Late,85.7%,17.1%,8.91%,Exhausted
MC.PA,MC,stock,Revolut,Euro,WAIT,WAIT,463.65,632.78,607.47,31.0%,Attractive,,12,12,1.73%,OFF,VALID,OFF,,Lower Quartile,1,66.7%,33.6,34.0,-2.827,1.067,,,47,70.2%,55.6%,5.08%,3680.39%,RSI_BAND_DROP,545%,Late,55.6%,11.1%,2.33%,Exhausted
MONY.L,Moneysupermarket,stock,Moneybase,GBP,WAIT,WAIT,1.50,2.96,2.84,89.6%,Attractive,,24,24,-1.70%,OFF,NO,OFF,,Lower Quartile,1,72.7%,34.7,37.3,-0.629,-0.341,,,41,56.1%,50.0%,2.61%,655.07%,TREND_BREAK_MA40_TWO_NEG_SLOPE,70%,Mature,40.0%,26.0%,0.38%,Late Risk
MRK.DE,Merck,stock,Revolut,Euro,WAIT,WAIT,107.40,135.51,130.09,21.1%,Attractive,,16,16,2.24%,OFF,VALID,OFF,,Lower Quartile,1,66.7%,39.8,40.8,-0.526,0.334,,,46,67.4%,61.5%,6.27%,2307.20%,HARD_STOP_FROM_ENTRY,102%,Late,61.5%,12.3%,3.15%,Exhausted
MSFT,MICROSOFT,stock,Revolut,USD,WAIT,WAIT,358.96,475.11,456.11,27.1%,Attractive,⭐,51,51,0.61%,OFF,NO,OFF,,Lower Quartile,2,83.3%,26.2,24.8,-1.376,-0.771,,Lower-low still forming (price still breaking down),46,76.1%,70.0%,5.90%,3833.11%,TREND_BREAK_MA40_TWO_NEG_SLOPE,52%,Mature,62.0%,40.3%,4.59%,Mid OK
NKT.SG,NKT Holding,stock,Revolut,Euro,WAIT,WAIT,109.30,128.27,123.14,12.7%,Moderate,,34,34,0.46%,OFF,VALID,OFF,,Lower Quartile,2,75.0%,62.6,55.3,-0.138,0.258,,,13,76.9%,66.7%,8.24%,354.23%,RSI_BAND_DROP,636%,Late,66.7%,13.3%,8.24%,Exhausted
NOV.DE,Novo Nordisk B,stock,Revolut,Euro,WAIT,WAIT,30.99,55.19,52.98,71.0%,Attractive,,3,3,1.72%,OFF,NO,OFF,,Lower Quartile,1,69.2%,33.8,32.9,-0.161,0.050,,Strong downtrend (ADX high & rising; -DI dominant),52,67.3%,40.0%,2.32%,2822.22%,TRAILING_STOP,383%,Late,40.0%,8.0%,-2.10%,Exhausted
NVDA,NVIDIA,stock,Revolut,USD,WAIT,WAIT,165.17,223.82,214.87,30.1%,Attractive,,10,10,-1.40%,OFF,NO,OFF,,Lower Quartile,2,72.7%,39.8,34.0,-0.667,-0.634,,Lower-low still forming (price still breaking down),41,85.4%,87.5%,7.76%,102381.02%,TRAILING_STOP,208%,Late,87.5%,17.5%,19.90%,Exhausted
P911.DE,Dr Ing hc F Porsche Prf,stock,Revolut,Euro,WAIT,WAIT,38.02,49.86,47.87,25.9%,Attractive,,3,3,1.01%,OFF,NO,OFF,,Lower Quartile,0,50.0%,39.3,47.0,-0.014,0.107,,,8,25.0%,25.0%,-1.49%,-4.55%,HARD_STOP_FROM_ENTRY,857%,Late,15.0%,3.0%,-2.12%,Exhausted
PIRC.MI,Pirelli & C,stock,Revolut,Euro,WAIT,WAIT,5.90,7.89,7.57,28.4%,Attractive,,25,25,0.20%,OFF,VALID,OFF,,Lower Quartile,2,83.3%,46.8,49.6,-0.008,0.015,,,22,72.7%,72.7%,3.44%,218.75%,TRAILING_STOP,304%,Late,78.2%,15.6%,4.21%,Exhausted
QCOM,Qualcomm,stock,Revolut,USD,WAIT,WAIT,127.07,174.55,167.57,31.9%,Attractive,,42,42,-0.03%,OFF,NO,OFF,,Lower Quartile,1,83.3%,30.5,32.1,-0.192,0.015,,Lower-low still forming (price still breaking down),47,80.9%,71.4%,3.68%,5564.59%,TREND_BREAK_MA40_TWO_NEG_SLOPE,70%,Mature,57.1%,37.1%,2.38%,Mid OK
RAT.L,Rathbones,stock,Moneybase,GBP,WAIT,WAIT,19.96,26.89,25.81,29.3%,Attractive,,16,16,-0.45%,OFF,NO,OFF,,Lower Quartile,0,66.7%,42.5,38.6,-10.133,-1.340,,Lower-low still forming (price still breaking down),45,71.1%,62.5%,3.50%,922.29%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,251%,Late,62.5%,12.5%,2.77%,Exhausted
SN.L,Smith & Nephew,stock,Moneybase,GBP,WAIT,WAIT,12.01,15.04,14.44,20.3%,Attractive,,21,21,0.63%,OFF,NO,OFF,,Lower Quartile,1,76.9%,41.1,38.6,-4.422,0.346,,,52,75.0%,91.7%,3.98%,1363.07%,RSI_BAND_DROP,214%,Late,91.7%,18.3%,10.24%,Exhausted
SSPG.L,SSP Group,stock,Moneybase,GBP,WAIT,WAIT,1.74,2.36,2.27,30.3%,Attractive,,3,3,0.69%,OFF,NO,OFF,,Lower Quartile,1,55.6%,46.8,40.3,-1.039,0.030,,Lower-low still forming (price still breaking down),36,69.4%,40.0%,2.20%,1008.88%,HARD_STOP_FROM_ENTRY,137%,Late,40.0%,8.0%,-0.49%,Exhausted
T2V1.F,Tryg,stock,Revolut,Euro,WAIT,WAIT,20.06,28.15,27.02,34.7%,Attractive,,16,16,0.75%,OFF,NO,OFF,,Lower Quartile,0,66.7%,41.6,44.5,-0.020,-0.010,,,46,80.4%,69.2%,3.77%,862.00%,TRAILING_STOP,269%,Late,69.2%,13.8%,3.40%,Exhausted
TEP.PA,TEP,stock,Revolut,Euro,WAIT,WAIT,48.66,83.81,80.46,65.3%,Attractive,,19,19,3.51%,OFF,VALID,OFF,,Lower Quartile,0,63.6%,34.5,43.9,-0.017,0.081,,,41,63.4%,40.0%,6.28%,2518.39%,HARD_STOP_FROM_ENTRY,52%,Mature,24.0%,15.6%,-1.96%,Late Risk
TRE.MC,Tecnicas Reunidas,stock,Revolut,Euro,WAIT,WAIT,29.68,34.93,33.53,13.0%,Moderate,,28,28,0.54%,OFF,NO,OFF,,Lower Quartile,1,64.3%,51.8,46.4,-0.179,0.040,,,55,65.5%,62.5%,2.14%,3350.10%,TRAILING_STOP,186%,Late,70.0%,14.0%,3.76%,Exhausted
UPS,United Parcel Service,stock,Revolut,USD,WAIT,WAIT,94.95,118.21,113.48,19.5%,Moderate,,24,24,0.16%,OFF,NO,OFF,,Lower Quartile,2,100.0%,36.1,28.9,-0.650,-0.000,,,46,89.1%,90.9%,4.36%,2243.99%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,320%,Late,90.9%,18.2%,4.41%,Exhausted
XYZ,XYZ,stock,Revolut,USD,WAIT,WAIT,57.03,76.20,73.15,28.3%,Attractive,⭐,56,56,1.88%,OFF,NO,OFF,,Lower Quartile,2,71.4%,43.8,43.1,-0.066,-0.177,,,25,76.0%,70.0%,12.96%,5823.05%,HARD_STOP_FROM_ENTRY,69%,Mature,70.0%,45.5%,12.46%,Mid OK
