Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Decision Window,2Y Strategy Return %,2Y Annualised %,Recent Strategy Health,Broken,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
VUAA.MI,Vanguard S&P 500 UCITS ETF USD Accumulation,etf,Revolut,Euro,IN_POS,BUY,109.15,,,,No Target,⭐⭐⭐,11,11,,,BUY,,,ETF Pullback,,81.8%,,43.4,,-0.038,1.58x [moderate],"drawdown_macd_turn, rsi14=43.42, rsi_sup=58.79, dd20=0.032, dd_th=0.020, macd_improving, buy_window_open",26,81.8%,81.8%,13.82%,15.96%,"drawdown_macd_turn, rsi14=43.42, rsi_sup=58.79, dd20=0.032, dd_th=0.020, macd_improving, buy_window_open",,,,,,,,,,,,
AKE.PA,Arkema,stock,Revolut,Euro,WATCH,WATCH,57.65,62.11,59.63,3.4%,Near Target,,39,39,-0.77%,ON,NO,OPEN,,Normal Range,0,52.6%,52.7,54.2,0.241,0.050,,Lower-low still forming (price still breaking down),39,69.2%,62.5%,2.68%,1689.77%,TRAILING_STOP,S12_RECOVERY,2Y,-8.9%,-4.5%,BROKEN,YES,38%,Mid,50.0%,42.5%,1.65%,Mid OK
BPCR.L,Quilter,stock,Moneybase,GBP,WATCH,IN_POS,0.93,2.22,2.13,129.2%,Attractive,,16,16,0.00%,ON,NO,OFF,,Lower Quartile,0,60.0%,53.7,47.3,-0.001,-0.000,,,19,57.9%,63.6%,0.99%,24.75%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,3.0%,1.5%,BROKEN,YES,126%,Late,63.6%,12.7%,1.13%,Exhausted
BRBY.L,Vistry Group,stock,Moneybase,GBP,WATCH,IN_POS,10.70,5.81,5.58,-47.9%,Above Target,,20,20,-1.94%,ON,NO,OPEN,,Lower Quartile,-1,43.8%,46.9,47.6,3.708,1.252,,Lower-low still forming (price still breaking down),61,67.2%,41.7%,4.66%,3679.82%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,77.7%,33.3%,OK,,32%,Mid,33.3%,28.3%,-1.78%,Late Risk
CRM,Salesforce Inc,stock,Revolut,USD,WATCH,WATCH,182.96,194.00,186.24,1.8%,Near Target,⭐⭐,76,76,-1.12%,ON,NO,OFF,,Lower Quartile,2,84.6%,38.2,40.7,0.477,-0.071,,,51,70.6%,85.7%,3.15%,3332.89%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S12_RECOVERY,2Y,-0.7%,-0.3%,BROKEN,YES,21%,Fresh,83.3%,83.3%,9.22%,Early Edge
EVK.DE,Evonik,stock,Revolut,Euro,WATCH,IN_POS,16.83,8.35,8.02,-52.4%,Above Target,,34,34,1.57%,ON,NO,OFF,,Extended,0,50.0%,60.8,70.2,0.172,0.045,,,46,63.0%,69.2%,2.52%,916.78%,BACKTEST_END,S0_BASE,2Y,62.4%,27.4%,OK,,55%,Mature,55.4%,36.0%,3.78%,Mid OK
FISV,Fiserv,stock,Revolut,USD,WATCH,WATCH,55.32,93.03,89.31,61.4%,Attractive,⭐,56,56,-1.78%,ON,NO,OFF,,Lower Quartile,0,64.3%,30.1,40.2,0.384,0.031,,,54,79.6%,83.3%,5.61%,2554.64%,TRAILING_STOP,S8_DI_GUARD,2Y,38.7%,17.8%,OK,,66%,Mature,83.3%,54.1%,9.68%,Mid OK
IHG.L,3I Group,stock,Moneybase,GBP,WATCH,WATCH,1.31,31.74,30.47,2230.4%,Attractive,⭐⭐,62,62,-2.61%,ON,NO,OPEN,,Lower Quartile,0,68.8%,51.5,45.6,0.144,-0.002,,,61,73.8%,69.2%,2.80%,3876.21%,TRAILING_STOP,S8_DI_GUARD_BUF,2Y,21.2%,10.1%,BROKEN,YES,26%,Mid,67.7%,67.7%,1.80%,Mid OK
INTU,Intuit,stock,Revolut,USD,WATCH,WATCH,410.24,619.95,595.15,45.1%,Attractive,⭐⭐,71,71,-1.71%,ON,NO,OFF,,Lower Quartile,0,44.4%,37.5,39.3,1.446,-1.081,,Lower-low still forming (price still breaking down),33,72.7%,55.6%,11.70%,2750.67%,HARD_STOP_FROM_ENTRY,S5_COMBO_BUF,2Y,-0.1%,-0.0%,BROKEN,YES,13%,Fresh,62.5%,62.5%,6.89%,Mid OK
ORCL,Oracle,stock,Revolut,USD,WATCH,ARMED,143.17,175.86,168.83,17.9%,Moderate,⭐⭐⭐,96,96,-1.63%,ON,NO,OFF,153.90,Lower Quartile,1,90.9%,39.6,42.4,0.684,-0.029,,Lower-low still forming (price still breaking down),42,71.4%,75.0%,3.36%,1812.15%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S4_WIDEATR,2Y,89.7%,37.7%,OK,,18%,Fresh,100.0%,100.0%,27.62%,Early Edge
PUIG.MC,Puig Brands,stock,Revolut,Euro,WATCH,IN_POS,17.16,21.91,21.03,22.6%,Attractive,⭐⭐⭐,95,95,-1.94%,ON,NO,OFF,,Limited history,0,,63.9,57.3,0.058,-0.026,,,2,100.0%,100.0%,9.04%,18.91%,BACKTEST_END,S0_BASE,2Y,,,,,16%,Fresh,100.0%,100.0%,9.04%,Early Edge
REP.MC,Repsol,stock,Revolut,Euro,WATCH,IN_POS,23.95,29.61,28.43,18.7%,Moderate,,38,38,-1.32%,ON,NO,OFF,,Normal Range,0,63.6%,84.4,60.9,0.181,-0.072,,,44,61.4%,70.0%,4.17%,2228.10%,BACKTEST_END,S3_HOLD16,2Y,102.1%,42.2%,OK,,204%,Late,70.0%,14.0%,11.54%,Exhausted
SAN.PA,SAN,stock,Revolut,Euro,WATCH,WATCH,80.51,115.90,111.26,38.2%,Attractive,⭐⭐⭐,86,86,-2.51%,ON,NO,OPEN,,Lower Quartile,1,91.7%,51.1,53.5,0.347,-0.084,,Lower-low still forming (price still breaking down),47,76.6%,87.5%,3.13%,544.73%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S12_RECOVERY,2Y,4.8%,2.4%,BROKEN,YES,26%,Mid,90.0%,90.0%,5.53%,Early Edge
WDH1.HA,Dermant AS,stock,Revolut,Euro,WATCH,IN_POS,25.30,33.70,32.35,27.9%,Attractive,⭐,55,55,-2.32%,ON,NO,OPEN,,Lower Quartile,0,66.7%,42.8,50.9,0.120,0.012,,Lower-low still forming (price still breaking down),10,80.0%,80.0%,1.61%,78.80%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,-13.2%,-6.9%,BROKEN,YES,43%,Mid,68.0%,57.8%,2.11%,Mid OK
1ZAL.MI,Zalando SE,stock,Revolut,Euro,WAIT,WAIT,20.54,34.82,33.43,62.7%,Attractive,,43,43,0.44%,OFF,NO,OFF,,Limited history,0,,39.9,43.8,-0.050,-0.007,,,3,100.0%,100.0%,5.04%,17.27%,HARD_STOP_FROM_ENTRY,S0_BASE,2Y,-17.0%,-8.9%,BROKEN,YES,71%,Mature,100.0%,40.0%,5.04%,Mid OK
AAPL,Apple,stock,Revolut,USD,WAIT,WAIT,253.50,14.87,14.28,-94.4%,Above Target,,34,34,-2.07%,OFF,NO,OFF,,Lower Quartile,2,80.0%,50.2,46.9,0.304,0.091,,Lower-low still forming (price still breaking down),40,77.5%,60.0%,11.10%,12739.57%,TRAILING_STOP,S3_HOLD16_BUF,2Y,27.7%,13.0%,BROKEN,YES,58%,Mature,56.0%,36.4%,2.70%,Mid OK
ADBE,Adobe,stock,Revolut,USD,WAIT,WAIT,240.14,387.28,371.79,54.8%,Attractive,,20,20,-1.73%,OFF,NO,OFF,,Lower Quartile,2,81.8%,32.6,38.4,-0.099,0.212,,,41,75.6%,76.9%,5.15%,1581.25%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S12_RECOVERY,2Y,-14.7%,-7.7%,BROKEN,YES,105%,Late,76.9%,15.4%,2.95%,Exhausted
AMP.MI,Amplifon,stock,Revolut,Euro,WAIT,WAIT,9.07,13.81,13.26,46.2%,Attractive,,20,20,-0.77%,OFF,NO,OFF,,Lower Quartile,1,77.8%,24.9,35.1,-0.084,0.044,,,36,75.0%,75.0%,3.69%,2409.27%,HARD_STOP_FROM_ENTRY,S5_COMBO,2Y,-51.8%,-30.6%,BROKEN,YES,166%,Late,75.0%,15.0%,0.99%,Exhausted
AMS.MC,Amadeus,stock,Revolut,Euro,WAIT,WAIT,48.21,65.74,63.11,30.9%,Attractive,,10,10,-2.68%,OFF,NO,OFF,,Lower Quartile,1,80.0%,33.1,38.7,0.005,-0.059,,Lower-low still forming (price still breaking down),39,76.9%,83.3%,3.15%,832.16%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S4_WIDEATR,2Y,13.1%,6.4%,BROKEN,YES,148%,Late,83.3%,16.7%,12.84%,Exhausted
BKNG,Booking,stock,Revolut,USD,WAIT,WAIT,173.41,5066.00,4863.36,2704.5%,Attractive,,19,19,-1.58%,OFF,VALID,OFF,,Lower Quartile,0,53.8%,44.8,11.7,-55.449,37.945,,Strong downtrend (ADX high & rising; -DI dominant),50,60.0%,71.4%,2.98%,5548.42%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S3_HOLD16_BUF,2Y,33.9%,15.7%,OK,,221%,Late,71.4%,14.3%,12.01%,Exhausted
BRE.MI,Freni Brembo,stock,Revolut,Euro,WAIT,WAIT,8.14,10.37,9.96,22.4%,Attractive,,17,17,-1.09%,OFF,NO,OFF,,Lower Quartile,2,83.3%,40.0,39.9,-0.066,0.024,,Lower-low still forming (price still breaking down),46,67.4%,55.6%,4.43%,3053.19%,RSI_BAND_DROP,S12_RECOVERY,2Y,-2.7%,-1.4%,BROKEN,YES,190%,Late,55.6%,11.1%,4.97%,Exhausted
CAP.PA,CAP,stock,Revolut,Euro,WAIT,WAIT,101.75,156.16,149.91,47.3%,Attractive,,12,12,-1.07%,OFF,VALID,OFF,,Lower Quartile,2,81.8%,36.8,45.8,-0.114,0.306,,,42,71.4%,63.6%,4.16%,1251.69%,TRAILING_STOP,S12_RECOVERY,2Y,-3.7%,-1.9%,BROKEN,YES,255%,Late,50.9%,10.2%,0.43%,Exhausted
CTEC.L,BioPharma Credit,stock,Moneybase,GBP,WAIT,WAIT,2.14,0.91,0.87,-59.3%,Above Target,,18,18,-2.55%,OFF,NO,OFF,,Lower Quartile,2,80.0%,41.7,36.8,-0.721,-0.305,,Lower-low still forming (price still breaking down),20,90.0%,90.0%,3.05%,321.00%,HARD_STOP_FROM_ENTRY,S2_HOLD12_BUF,2Y,30.3%,14.1%,BROKEN,YES,79%,Late,90.0%,36.0%,2.83%,Late Risk
DLG.MI,De Longhi,stock,Revolut,Euro,WAIT,WAIT,31.54,37.54,36.04,14.3%,Moderate,,20,20,0.13%,OFF,VALID,OFF,,Lower Quartile,2,80.0%,42.0,43.9,-0.264,0.181,,,40,52.5%,66.7%,1.43%,2362.97%,TRAILING_STOP,S5_COMBO,2Y,21.0%,10.0%,BROKEN,YES,204%,Late,53.3%,10.7%,2.78%,Exhausted
DSY.PA,DSY,stock,Revolut,Euro,WAIT,WAIT,17.40,25.75,24.72,42.1%,Attractive,,20,20,-1.25%,OFF,VALID,OFF,,Lower Quartile,1,83.3%,29.9,43.9,0.038,0.041,,,48,81.2%,75.0%,5.09%,2334.77%,TRAILING_STOP,S1_FAST,2Y,-17.8%,-9.4%,BROKEN,YES,306%,Late,75.0%,15.0%,2.99%,Exhausted
DTE.DE,Deutsche Telekom AG,stock,Revolut,Euro,WAIT,WAIT,30.81,39.02,37.46,21.6%,Attractive,,16,16,0.13%,OFF,NO,OFF,,Lower Quartile,1,86.7%,52.2,39.6,-0.097,-0.082,,,57,68.4%,81.8%,2.48%,1806.29%,TRAILING_STOP,S12_COMPOUNDER_HOLD,2Y,38.6%,17.7%,OK,,206%,Late,81.8%,16.4%,4.63%,Exhausted
DWS.DE,DWS Group GmbH & Co. KGaA,stock,Revolut,Euro,WAIT,WAIT,53.90,65.94,63.30,17.4%,Moderate,,18,18,-2.71%,OFF,NO,OFF,,Lower Quartile,2,100.0%,50.0,43.7,-0.128,-0.019,,Lower-low still forming (price still breaking down),19,84.2%,100.0%,10.07%,655.76%,TRAILING_STOP,S2_HOLD12,2Y,57.5%,25.5%,OK,,163%,Late,100.0%,20.0%,13.58%,Exhausted
EMG.L,Man Group,stock,Moneybase,GBP,WAIT,WAIT,2.56,3.18,3.05,19.2%,Moderate,,19,19,-0.08%,OFF,VALID,OFF,,Normal Range,2,73.7%,55.7,51.3,-0.562,0.392,,Lower-low still forming (price still breaking down),39,76.9%,85.7%,5.34%,3125.20%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,S12_RECOVERY,2Y,69.0%,30.0%,OK,,424%,Late,85.7%,17.1%,2.99%,Exhausted
FDR.MC,Fluidra,stock,Revolut,Euro,WAIT,WAIT,20.36,24.71,23.72,16.5%,Moderate,,29,29,0.59%,OFF,VALID,OFF,,Lower Quartile,1,66.7%,38.4,44.3,-0.096,0.076,,,36,72.2%,100.0%,5.44%,5574.84%,TRAILING_STOP,S2_HOLD12,2Y,4.8%,2.4%,BROKEN,YES,175%,Late,100.0%,20.0%,8.15%,Exhausted
FME.DE,Fresenius Medical Care,stock,Revolut,Euro,WAIT,WAIT,39.11,54.22,52.05,33.1%,Attractive,,20,20,1.14%,OFF,VALID,OFF,,Lower Quartile,1,80.0%,42.0,51.1,0.022,0.052,,,38,68.4%,71.4%,2.30%,430.53%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S5_COMBO,2Y,-4.6%,-2.3%,BROKEN,YES,110%,Late,71.4%,14.3%,2.95%,Exhausted
FRA.DE,Fuchs Petrolub,stock,Revolut,Euro,WAIT,WAIT,75.70,46.61,44.75,-40.9%,Above Target,,22,22,-1.11%,OFF,VALID,OFF,,Lower Quartile,1,70.0%,53.2,48.8,-0.073,0.074,,,40,67.5%,75.0%,2.98%,358.86%,TRAILING_STOP,S12_RECOVERY,2Y,23.3%,11.0%,BROKEN,YES,205%,Late,75.0%,15.0%,5.28%,Exhausted
HEN3.DE,Henkel VZO,stock,Revolut,Euro,WAIT,WAIT,64.26,84.24,80.87,25.8%,Attractive,,16,16,-0.80%,OFF,NO,OFF,,Lower Quartile,0,61.5%,36.7,21.3,-0.653,-0.034,,Lower-low still forming (price still breaking down),50,66.0%,81.8%,2.24%,861.79%,TRAILING_STOP,S2_HOLD12,2Y,1.0%,0.5%,BROKEN,YES,140%,Late,81.8%,16.4%,4.05%,Exhausted
HTWS.L,Harbour Energy,stock,Moneybase,GBP,WAIT,WAIT,1.93,3.68,3.53,83.0%,Attractive,,26,26,2.22%,OFF,VALID,OFF,,Normal Range,0,50.0%,63.3,61.6,-0.020,1.075,,,16,75.0%,66.7%,3.22%,272.76%,RSI_BAND_DROP,S3_HOLD16,2Y,90.2%,37.9%,OK,,1282%,Late,66.7%,13.3%,10.33%,Exhausted
HYQ.DE,Hypoport SE,stock,Revolut,Euro,WAIT,WAIT,72.25,117.04,112.36,55.5%,Attractive,,16,16,-4.56%,OFF,NO,OFF,,Lower Quartile,1,50.0%,30.3,38.0,0.142,0.087,,,45,62.2%,60.0%,3.92%,48234.24%,HARD_STOP_FROM_ENTRY,S12_RECOVERY,2Y,-8.2%,-4.2%,BROKEN,YES,106%,Late,60.0%,12.0%,1.67%,Exhausted
IP.MI,Interpump,stock,Revolut,Euro,WAIT,WAIT,34.38,42.02,40.34,17.3%,Moderate,,19,19,-0.46%,OFF,VALID,OFF,,Lower Quartile,2,76.9%,38.4,46.2,-0.177,0.195,,,49,75.5%,90.0%,6.15%,6002.94%,TRAILING_STOP,S1_FAST,2Y,11.5%,5.6%,BROKEN,YES,386%,Late,90.0%,18.0%,1.59%,Exhausted
MAP.MC,Mapfre,stock,Revolut,Euro,WAIT,WAIT,3.92,4.95,4.75,21.2%,Attractive,,15,15,0.20%,OFF,VALID,OFF,,Extended,2,100.0%,52.1,62.3,0.007,0.010,,,59,71.2%,66.7%,2.52%,1983.14%,RSI_BAND_DROP,S3_HOLD16_BUF,2Y,56.1%,24.9%,OK,,235%,Late,66.7%,13.3%,14.52%,Exhausted
MC.PA,MC,stock,Revolut,Euro,WAIT,WAIT,466.85,616.05,591.41,26.7%,Attractive,,22,22,-0.89%,OFF,NO,OFF,,Lower Quartile,0,62.5%,35.5,37.8,-2.237,1.018,,,62,71.0%,55.6%,5.55%,5342.95%,TRAILING_STOP,S11_VOLATILE_FAST,2Y,43.5%,19.8%,OK,,982%,Late,55.6%,11.1%,8.06%,Exhausted
MONY.L,Moneysupermarket,stock,Moneybase,GBP,WAIT,WAIT,1.52,2.39,2.29,50.9%,Attractive,,3,3,0.86%,OFF,VALID,OFF,,Lower Quartile,0,69.2%,35.0,41.0,-0.565,0.158,,,52,59.6%,45.5%,2.61%,1243.90%,HARD_STOP_FROM_ENTRY,S11_VOLATILE_FAST,2Y,-19.3%,-10.2%,BROKEN,YES,134%,Late,45.5%,9.1%,-0.68%,Exhausted
MRK.DE,Merck,stock,Revolut,Euro,WAIT,WAIT,107.35,138.46,132.92,23.8%,Attractive,,16,16,-2.23%,OFF,NO,OFF,,Lower Quartile,1,60.0%,42.6,41.7,-0.335,0.161,,,40,72.5%,60.0%,3.18%,1626.22%,HARD_STOP_FROM_ENTRY,S12_RECOVERY,2Y,-13.2%,-6.8%,BROKEN,YES,104%,Late,60.0%,12.0%,1.77%,Exhausted
MSFT,MICROSOFT,stock,Revolut,USD,WAIT,WAIT,372.29,462.66,444.15,19.3%,Moderate,⭐,45,45,-0.16%,OFF,VALID,OFF,,Lower Quartile,2,81.8%,33.4,38.7,-0.219,0.634,,Strong downtrend (ADX high & rising; -DI dominant),41,70.7%,63.6%,6.39%,3485.27%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S3_HOLD16_BUF,2Y,26.7%,12.6%,BROKEN,YES,59%,Mature,50.9%,33.1%,1.99%,Mid OK
MUV2.DE,CTS Eventim AG,stock,Revolut,Euro,WAIT,WAIT,546.40,78.74,75.59,-86.2%,Above Target,,25,25,0.26%,OFF,VALID,OFF,,Normal Range,2,72.2%,52.3,59.3,1.408,0.961,,,36,72.2%,66.7%,4.57%,1296.93%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S5_COMBO,2Y,20.3%,9.7%,BROKEN,YES,75%,Late,66.7%,26.7%,7.24%,Late Risk
NKE,Nike,stock,Revolut,USD,WAIT,WAIT,42.69,63.30,60.77,42.3%,Attractive,,16,16,-3.04%,OFF,NO,OFF,,Lower Quartile,1,80.0%,23.2,18.4,-0.484,-0.293,,Lower-low still forming (price still breaking down),40,77.5%,77.8%,5.11%,1258.45%,HARD_STOP_FROM_ENTRY,S12_RECOVERY,2Y,-9.2%,-4.7%,BROKEN,YES,110%,Late,62.2%,12.4%,3.17%,Exhausted
NVDA,NVIDIA,stock,Revolut,USD,WAIT,WAIT,178.10,218.70,209.95,17.9%,Moderate,,18,18,0.26%,OFF,VALID,OFF,,Lower Quartile,2,77.8%,49.6,49.9,0.307,0.390,,,35,85.7%,100.0%,12.06%,94275.56%,TRAILING_STOP,S12_RECOVERY,2Y,109.0%,44.6%,OK,,196%,Late,100.0%,20.0%,52.27%,Exhausted
NXT.L,Sage,stock,Moneybase,GBP,WAIT,WAIT,127.10,10.63,10.20,-92.0%,Above Target,,34,34,-1.85%,OFF,NO,OFF,,Lower Quartile,2,72.7%,49.5,50.0,18.936,14.340,,Lower-low still forming (price still breaking down),44,68.2%,50.0%,2.78%,2477.62%,HARD_STOP_FROM_ENTRY,S3_HOLD16_BUF,2Y,22.8%,10.8%,BROKEN,YES,70%,Mature,50.0%,32.5%,1.22%,Mid OK
OXIG.L,Intertek,stock,Moneybase,GBP,WAIT,WAIT,24.66,51.36,49.31,99.9%,Attractive,,8,8,-1.36%,OFF,VALID,OFF,,Lower Quartile,-1,45.5%,56.1,48.2,-4.226,1.834,,,41,68.3%,55.6%,6.74%,4380.90%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,S12_COMPOUNDER_HOLD,2Y,24.0%,11.4%,BROKEN,YES,371%,Late,44.4%,8.9%,0.82%,Exhausted
PIRC.MI,Pirelli & C,stock,Revolut,Euro,WAIT,WAIT,5.95,8.48,8.14,36.8%,Attractive,,25,25,-0.53%,OFF,NO,OFF,,Lower Quartile,1,80.0%,48.9,51.5,-0.001,0.009,,,19,73.7%,75.0%,4.91%,202.39%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S4_WIDEATR,2Y,20.5%,9.8%,BROKEN,YES,266%,Late,75.0%,15.0%,6.48%,Exhausted
QCOM,Qualcomm,stock,Revolut,USD,WAIT,WAIT,124.07,174.47,167.49,35.0%,Attractive,,42,42,-1.32%,OFF,NO,OFF,,Lower Quartile,2,81.8%,30.3,29.7,-0.214,-0.082,,Lower-low still forming (price still breaking down),41,73.2%,58.3%,3.81%,4565.47%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S5_COMBO_BUF,2Y,22.4%,10.6%,BROKEN,YES,61%,Mature,58.3%,37.9%,3.09%,Mid OK
REY.MI,Reply,stock,Revolut,Euro,WAIT,WAIT,80.90,125.55,120.53,49.0%,Attractive,,3,3,-1.40%,OFF,VALID,OFF,,Lower Quartile,-1,25.0%,29.8,41.2,-0.119,0.242,,,32,53.1%,14.3%,0.99%,5324.05%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S5_COMBO_BUF,2Y,29.3%,13.7%,BROKEN,YES,91%,Late,14.3%,2.9%,-3.25%,Exhausted
RI.PA,RI,stock,Revolut,Euro,WAIT,WAIT,62.96,77.45,74.35,18.1%,Moderate,,24,24,-0.10%,OFF,NO,OFF,,Lower Quartile,2,94.1%,30.1,36.2,-0.499,0.093,,Lower-low still forming (price still breaking down),65,72.3%,69.2%,3.59%,1166.45%,TRAILING_STOP,S11_VOLATILE_FAST,2Y,-19.6%,-10.3%,BROKEN,YES,410%,Late,69.2%,13.8%,0.73%,Exhausted
SAP.DE,SAP,stock,Revolut,Euro,WAIT,WAIT,145.22,183.99,176.63,21.6%,Attractive,,26,26,-2.47%,OFF,NO,OFF,,Lower Quartile,0,53.3%,25.4,31.1,-0.501,0.038,,Lower-low still forming (price still breaking down),58,65.5%,77.8%,2.78%,3703.22%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S8_DI_GUARD_BUF,2Y,58.6%,25.9%,OK,,506%,Late,62.2%,12.4%,10.59%,Exhausted
