Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
AMD,AMD,stock,Revolut,USD,WAIT,WAIT,197.40,216.18,207.53,5.1%,Near Target,,20,20,-2.27%,OFF,NO,OFF,,Lower Quartile,2,70.0%,48.0,45.4,-1.151,-0.460,,Lower-low still forming (price still breaking down),38,68.4%,71.4%,9.79%,113632.57%,HARD_STOP_FROM_ENTRY,139%,Late,71.4%,14.3%,26.52%,Exhausted
AMP.MI,Amplifon,stock,Revolut,Euro,WAIT,WAIT,9.21,13.81,13.26,43.9%,Attractive,,20,20,1.10%,OFF,VALID,OFF,,Lower Quartile,2,81.8%,24.7,35.5,-0.132,0.081,,,43,83.7%,77.8%,5.03%,4635.94%,HARD_STOP_FROM_ENTRY,179%,Late,77.8%,15.6%,1.32%,Exhausted
AMS.MC,Amadeus,stock,Revolut,Euro,WAIT,WAIT,49.00,68.28,65.55,33.8%,Attractive,,16,16,0.82%,OFF,NO,OFF,,Lower Quartile,1,90.9%,30.7,40.4,-0.156,-0.039,,,43,76.7%,77.8%,2.86%,950.31%,TREND_BREAK_MA40_TWO_NEG_SLOPE,200%,Late,62.2%,12.4%,1.46%,Exhausted
BC8.DE,Bechtle AG,stock,Revolut,Euro,WAIT,WAIT,27.74,39.49,37.91,36.7%,Attractive,,3,3,1.69%,OFF,NO,OFF,,Lower Quartile,2,72.7%,31.8,33.0,-0.469,0.085,,Strong downtrend (ADX high & rising; -DI dominant),41,61.0%,45.5%,4.04%,5405.01%,HARD_STOP_FROM_ENTRY,157%,Late,36.4%,7.3%,-1.83%,Exhausted
BRE.MI,Freni Brembo,stock,Revolut,Euro,WAIT,WAIT,8.03,10.93,10.49,30.6%,Attractive,,16,16,-0.37%,OFF,VALID,OFF,,Lower Quartile,2,83.3%,38.2,35.3,-0.102,0.027,,,47,78.7%,66.7%,5.04%,5971.14%,TRAILING_STOP,138%,Late,66.7%,13.3%,2.76%,Exhausted
CAH,Cardinal Health,stock,Revolut,USD,WAIT,WAIT,207.68,257.10,246.82,18.8%,Moderate,,18,18,0.53%,OFF,NO,OFF,,Lower Quartile,1,78.6%,48.7,40.2,-0.996,-0.034,,,54,77.8%,87.5%,5.54%,4412.37%,RSI_BAND_DROP,222%,Late,87.5%,17.5%,16.24%,Exhausted
CAP.PA,CAP,stock,Revolut,Euro,WAIT,WAIT,97.88,173.33,166.40,70.0%,Attractive,,8,8,1.75%,OFF,NO,OFF,,Lower Quartile,0,54.5%,30.6,35.2,-0.957,0.138,,Strong downtrend (ADX high & rising; -DI dominant),44,72.7%,54.5%,3.49%,1891.50%,TRAILING_STOP,200%,Late,43.6%,8.7%,0.40%,Exhausted
CBH.F,Coloplast,stock,Revolut,Euro,WAIT,WAIT,5.60,82.67,79.36,1317.2%,Attractive,,8,8,-1.75%,OFF,NO,OFF,,Lower Quartile,1,100.0%,26.7,37.3,-0.019,0.005,,,15,53.3%,57.1%,1.85%,59.06%,TREND_BREAK_MA40_TWO_NEG_SLOPE,240%,Late,45.7%,9.1%,1.75%,Exhausted
DHL.DE,Deutsche Post,stock,Revolut,Euro,WAIT,WAIT,44.71,55.05,52.85,18.2%,Moderate,,24,24,1.22%,OFF,VALID,OFF,,Lower Quartile,2,100.0%,47.1,41.9,-0.303,0.050,,Lower-low still forming (price still breaking down),32,81.2%,80.0%,7.76%,1303.25%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,300%,Late,80.0%,16.0%,6.02%,Exhausted
DIA.MI,Diasorin,stock,Revolut,Euro,WAIT,WAIT,59.00,78.62,75.48,27.9%,Attractive,,12,12,1.27%,OFF,VALID,OFF,,Lower Quartile,0,69.2%,30.0,34.5,-0.628,0.028,,Lower-low still forming (price still breaking down),51,54.9%,53.8%,2.28%,1297.94%,TREND_BREAK_MA40_TWO_NEG_SLOPE,214%,Late,53.8%,10.8%,0.45%,Exhausted
DLG.MI,De Longhi,stock,Revolut,Euro,WAIT,WAIT,28.80,41.52,39.86,38.4%,Attractive,,12,12,-0.96%,OFF,NO,OFF,,Lower Quartile,2,81.8%,33.2,23.8,-0.581,-0.017,,Lower-low still forming (price still breaking down),44,65.9%,70.0%,4.35%,4784.69%,TRAILING_STOP,200%,Late,56.0%,11.2%,1.89%,Exhausted
DSY.PA,DSY,stock,Revolut,Euro,WAIT,WAIT,16.94,26.84,25.77,52.1%,Attractive,,11,11,2.02%,OFF,VALID,OFF,,Lower Quartile,1,72.7%,23.5,36.9,-0.094,0.023,,Lower-low still forming (price still breaking down),41,80.5%,80.0%,7.98%,1913.28%,TRAILING_STOP,200%,Late,80.0%,16.0%,3.84%,Exhausted
DTE.DE,Deutsche Telekom AG,stock,Revolut,Euro,WAIT,WAIT,32.26,39.32,37.75,17.0%,Moderate,,24,24,1.80%,OFF,NO,OFF,,Lower Quartile,1,86.7%,56.5,50.9,-0.017,-0.005,,,59,69.5%,81.8%,2.48%,2030.04%,TRAILING_STOP,180%,Late,81.8%,16.4%,4.63%,Exhausted
DWS.DE,DWS Group GmbH & Co. KGaA,stock,Revolut,Euro,WAIT,WAIT,53.75,71.47,68.61,27.6%,Attractive,,10,10,0.19%,OFF,NO,OFF,,Lower Quartile,2,100.0%,45.9,41.0,-0.330,0.033,,Lower-low still forming (price still breaking down),19,84.2%,100.0%,12.69%,691.30%,TRAILING_STOP,176%,Late,100.0%,20.0%,13.91%,Exhausted
EMG.L,Man Group,stock,Moneybase,GBP,WAIT,WAIT,2.48,3.18,3.05,23.0%,Attractive,,20,20,-0.16%,OFF,NO,OFF,,Lower Quartile,2,83.3%,51.0,43.9,-1.395,0.086,,Lower-low still forming (price still breaking down),46,73.9%,77.8%,2.57%,2819.20%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,474%,Late,77.8%,15.6%,2.69%,Exhausted
EN.PA,EN,stock,Revolut,Euro,WAIT,WAIT,48.96,60.13,57.72,17.9%,Moderate,,24,24,0.08%,OFF,NO,OFF,,Lower Quartile,1,71.4%,62.5,46.0,-0.129,-0.051,,,55,70.9%,63.6%,2.09%,1500.60%,TRAILING_STOP,433%,Late,63.6%,12.7%,1.90%,Exhausted
FDR.MC,Fluidra,stock,Revolut,Euro,WAIT,WAIT,20.08,25.56,24.54,22.2%,Attractive,,16,16,0.20%,OFF,VALID,OFF,,Lower Quartile,1,63.6%,37.3,37.8,-0.153,0.083,,,41,63.4%,64.3%,4.10%,4234.38%,HARD_STOP_FROM_ENTRY,117%,Late,64.3%,12.9%,3.27%,Exhausted
FME.DE,Fresenius Medical Care,stock,Revolut,Euro,WAIT,WAIT,38.89,56.81,54.54,40.2%,Attractive,,20,20,0.91%,OFF,VALID,OFF,,Lower Quartile,1,75.0%,41.4,48.5,-0.002,0.038,,,46,71.7%,77.8%,2.42%,669.89%,TRAILING_STOP,117%,Late,77.8%,15.6%,3.11%,Exhausted
GEST.MC,Gestamp Automocion,stock,Revolut,Euro,WAIT,WAIT,2.93,3.75,3.60,22.8%,Attractive,,3,3,-2.07%,OFF,NO,OFF,,Lower Quartile,2,85.7%,45.4,38.8,-0.006,-0.005,,Lower-low still forming (price still breaking down),27,55.6%,45.5%,1.23%,320.51%,TREND_BREAK_MA40_TWO_NEG_SLOPE,240%,Late,45.5%,9.1%,0.00%,Exhausted
