Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Decision Window,2Y Strategy Return %,2Y Annualised %,Recent Strategy Health,Broken,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
WDH1.HA,Dermant AS,stock,Revolut,Euro,WATCH,IN_POS,25.30,33.70,32.35,27.9%,Attractive,⭐,55,55,-2.32%,ON,NO,OPEN,,Lower Quartile,0,66.7%,42.8,50.9,0.120,0.012,,Lower-low still forming (price still breaking down),10,80.0%,80.0%,1.61%,78.80%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,34.8%,16.1%,OK,,48%,Mid,68.0%,57.8%,2.11%,Mid OK
1ZAL.MI,Zalando SE,stock,Revolut,Euro,WAIT,WAIT,21.91,34.82,33.43,52.6%,Attractive,,43,43,6.67%,OFF,VALID,OFF,,Limited history,0,,39.9,55.4,-0.050,0.107,,,3,100.0%,100.0%,5.04%,17.27%,HARD_STOP_FROM_ENTRY,S0_BASE,2Y,17.3%,8.3%,BROKEN,YES,74%,Mature,100.0%,40.0%,5.04%,Mid OK
AAPL,Apple,stock,Revolut,USD,WAIT,WAIT,258.90,14.87,14.28,-94.5%,Above Target,,22,22,2.13%,OFF,NO,OFF,,Lower Quartile,2,84.6%,50.2,53.8,0.304,0.521,,,51,74.5%,72.7%,8.23%,14873.24%,TRAILING_STOP,S8_DI_GUARD_BUF,2Y,106.9%,43.8%,OK,,137%,Late,72.7%,14.5%,6.17%,Exhausted
ADBE,Adobe,stock,Revolut,USD,WAIT,WAIT,239.31,387.28,371.79,55.4%,Attractive,,29,29,-0.35%,OFF,NO,OFF,,Lower Quartile,2,90.0%,32.6,37.8,-0.099,0.185,,Lower-low still forming (price still breaking down),38,81.6%,88.9%,5.35%,1963.63%,TRAILING_STOP,S12_COMPOUNDER_HOLD,2Y,26.8%,12.6%,OK,,80%,Late,88.9%,35.6%,6.36%,Late Risk
AMP.MI,Amplifon,stock,Revolut,Euro,WAIT,WAIT,9.26,13.81,13.26,43.1%,Attractive,,20,20,2.14%,OFF,VALID,OFF,,Lower Quartile,1,78.6%,24.9,39.0,-0.084,0.058,,,55,83.6%,70.0%,4.55%,5155.94%,HARD_STOP_FROM_ENTRY,S1_FAST,2Y,9.2%,4.5%,BROKEN,YES,335%,Late,70.0%,14.0%,0.99%,Exhausted
AMS.MC,Amadeus,stock,Revolut,Euro,WAIT,WAIT,50.50,65.74,63.11,25.0%,Attractive,,11,11,4.75%,OFF,VALID,OFF,,Lower Quartile,0,58.8%,33.1,50.0,0.005,0.147,,,67,74.6%,83.3%,2.86%,2591.88%,TRAILING_STOP,S8_DI_GUARD_BUF,2Y,45.4%,20.6%,OK,,336%,Late,86.7%,17.3%,3.95%,Exhausted
BKNG,Booking,stock,Revolut,USD,WAIT,WAIT,181.00,5066.00,4863.36,2586.9%,Attractive,,16,16,4.38%,OFF,VALID,OFF,,Lower Quartile,0,53.3%,44.8,12.1,-55.449,42.577,,Strong downtrend (ADX high & rising; -DI dominant),60,61.7%,66.7%,1.36%,6132.51%,TRAILING_STOP,S1_FAST,2Y,99.0%,41.1%,OK,,446%,Late,66.7%,13.3%,3.69%,Exhausted
BRE.MI,Freni Brembo,stock,Revolut,Euro,WAIT,WAIT,8.44,10.37,9.96,17.9%,Moderate,,19,19,3.81%,OFF,NO,OFF,,Lower Quartile,2,85.7%,40.0,47.5,-0.066,0.047,,,56,85.7%,80.0%,5.94%,10623.87%,TRAILING_STOP,S8_DI_GUARD_BUF,2Y,72.7%,31.4%,OK,,461%,Late,80.0%,16.0%,3.86%,Exhausted
CAP.PA,CAP,stock,Revolut,Euro,WAIT,WAIT,103.20,156.16,149.91,45.3%,Attractive,,16,16,1.43%,OFF,NO,OFF,,Lower Quartile,0,61.5%,36.8,49.4,-0.114,0.384,,,49,73.5%,81.8%,4.41%,2292.55%,TRAILING_STOP,S8_DI_GUARD,2Y,60.4%,26.6%,OK,,309%,Late,81.8%,16.4%,4.98%,Exhausted
CTEC.L,BioPharma Credit,stock,Moneybase,GBP,WAIT,WAIT,2.25,0.91,0.87,-61.1%,Above Target,,18,18,4.85%,OFF,VALID,OFF,,Lower Quartile,2,80.0%,41.7,48.2,-0.721,0.650,,,20,90.0%,90.0%,3.05%,321.00%,HARD_STOP_FROM_ENTRY,S2_HOLD12_BUF,2Y,85.4%,36.2%,OK,,80%,Late,90.0%,36.0%,2.83%,Late Risk
DLG.MI,De Longhi,stock,Revolut,Euro,WAIT,WAIT,33.46,37.54,36.04,7.7%,Near Target,,17,17,6.09%,OFF,VALID,OFF,,Normal Range,1,68.0%,42.0,54.7,-0.264,0.312,,,51,76.5%,75.0%,4.16%,9468.98%,HARD_STOP_FROM_ENTRY,S11_VOLATILE_FAST,2Y,51.3%,23.0%,OK,,211%,Late,60.0%,12.0%,0.90%,Exhausted
