Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Decision Window,4Y Strategy Return %,3Y Strategy Return %,Recent Strategy Health,Broken,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
DTE.DE,Deutsche Telekom AG,stock,Revolut,Euro,WAIT,WAIT,30.77,39.02,37.46,21.7%,Attractive,,16,16,-3.36%,OFF,NO,OFF,,Lower Quartile,1,86.7%,52.2,39.2,-0.097,-0.111,,Lower-low still forming (price still breaking down),57,68.4%,81.8%,2.35%,1738.98%,TRAILING_STOP,S3_HOLD16_BUF,4Y,33.6%,,,,203%,Late,81.8%,16.4%,4.63%,Exhausted
DWS.DE,DWS Group GmbH & Co. KGaA,stock,Revolut,Euro,WAIT,WAIT,55.40,65.94,63.30,14.3%,Moderate,,29,29,-2.12%,OFF,VALID,OFF,,Lower Quartile,2,100.0%,50.0,49.3,-0.128,0.118,,,20,80.0%,87.5%,7.23%,560.84%,TRAILING_STOP,S12_RECOVERY,4Y,86.4%,46.1%,OK,,546%,Late,90.0%,18.0%,10.92%,Exhausted
EMG.L,Man Group,stock,Moneybase,GBP,WAIT,WAIT,2.56,3.18,3.05,19.1%,Moderate,,19,19,-2.06%,OFF,VALID,OFF,,Normal Range,2,73.7%,55.7,51.5,-0.562,0.496,,Volatility still expanding on down closes (ATR rising),39,76.9%,85.7%,5.34%,3125.20%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,S12_RECOVERY,4Y,50.1%,46.9%,OK,,422%,Late,85.7%,17.1%,2.99%,Exhausted
FDR.MC,Fluidra,stock,Revolut,Euro,WAIT,WAIT,20.24,24.71,23.72,17.2%,Moderate,,33,33,-0.88%,OFF,VALID,OFF,,Lower Quartile,1,60.0%,38.4,42.6,-0.096,0.074,,,37,64.9%,77.8%,3.53%,4389.98%,TRAILING_STOP,S5_COMBO_BUF,4Y,-0.6%,-8.4%,BROKEN,YES,423%,Late,77.8%,15.6%,5.04%,Exhausted
FME.DE,Fresenius Medical Care,stock,Revolut,Euro,WAIT,WAIT,38.67,54.22,52.05,34.6%,Attractive,,20,20,0.21%,OFF,VALID,OFF,,Lower Quartile,1,80.0%,42.0,47.1,0.022,0.018,,Lower-low still forming (price still breaking down),38,68.4%,71.4%,2.30%,430.53%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S5_COMBO,3Y,-12.0%,-2.4%,BROKEN,YES,109%,Late,71.4%,14.3%,2.95%,Exhausted
FRA.DE,Fuchs Petrolub,stock,Revolut,Euro,WAIT,WAIT,76.55,46.61,44.75,-41.5%,Above Target,,22,22,-0.71%,OFF,VALID,OFF,,Lower Quartile,1,70.0%,53.2,51.4,-0.073,0.171,,,40,67.5%,75.0%,2.98%,358.86%,TRAILING_STOP,S12_RECOVERY,3Y,21.9%,29.3%,OK,,202%,Late,75.0%,15.0%,5.28%,Exhausted
HEN3.DE,Henkel VZO,stock,Revolut,Euro,WAIT,WAIT,64.78,84.24,80.87,24.8%,Attractive,,16,16,-2.03%,OFF,NO,OFF,,Lower Quartile,0,53.8%,36.7,22.5,-0.653,-0.032,,Lower-low still forming (price still breaking down),50,64.0%,81.8%,1.59%,807.90%,TRAILING_STOP,S2_HOLD12_BUF,4Y,2.0%,-5.6%,OK,,155%,Late,81.8%,16.4%,4.05%,Exhausted
HTWS.L,Harbour Energy,stock,Moneybase,GBP,WAIT,WAIT,1.89,3.68,3.53,87.1%,Attractive,,15,15,1.40%,OFF,VALID,OFF,,Normal Range,-1,50.0%,63.3,57.7,-0.020,0.922,,,16,75.0%,66.7%,5.21%,243.86%,RSI_BAND_DROP,S0_BASE,4Y,94.4%,79.0%,OK,,1671%,Late,66.7%,13.3%,12.21%,Exhausted
HYQ.DE,Hypoport SE,stock,Revolut,Euro,WAIT,WAIT,75.70,117.04,112.36,48.4%,Attractive,,16,16,4.56%,OFF,NO,OFF,,Lower Quartile,1,50.0%,30.3,42.5,0.142,0.397,,,45,62.2%,60.0%,3.92%,48234.24%,HARD_STOP_FROM_ENTRY,S12_RECOVERY,4Y,7.7%,-34.5%,OK,,103%,Late,60.0%,12.0%,1.67%,Exhausted
IP.MI,Interpump,stock,Revolut,Euro,WAIT,WAIT,34.54,42.02,40.34,16.8%,Moderate,,28,28,0.29%,OFF,VALID,OFF,,Lower Quartile,2,77.8%,38.4,47.0,-0.177,0.242,,,36,72.2%,77.8%,6.37%,4935.40%,TRAILING_STOP,S5_COMBO,3Y,4.7%,34.2%,OK,,219%,Late,77.8%,15.6%,3.97%,Exhausted
