Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Decision Window,2Y Strategy Return %,2Y Annualised %,Recent Strategy Health,Broken,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
PRY.MI,Prysmian,stock,Revolut,Euro,IN_POS,IN_POS,115.60,99.00,95.04,-17.8%,Above Target,⭐,47,47,0.52%,ON,VALID,OPEN,,Extended,1,75.0%,65.7,72.7,0.341,0.918,,,61,73.8%,76.9%,4.80%,11563.21%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,262.7%,90.5%,OK,,39%,Mid,76.9%,65.4%,3.69%,Mid OK
VUAA.MI,Vanguard S&P 500 UCITS ETF USD Accumulation,etf,Revolut,Euro,IN_POS,WAIT,111.45,,,,No Target,⭐⭐,6,6,,,NO,,,ETF Pullback,,81.8%,,55.2,,0.160,0.56x [mild],"drawdown_macd_turn, rsi14=55.20, rsi_sup=58.65, dd20=0.011, dd_th=0.020, bullish_day, macd_improving",26,81.8%,81.8%,13.82%,15.96%,"drawdown_macd_turn, rsi14=55.20, rsi_sup=58.65, dd20=0.011, dd_th=0.020, bullish_day, macd_improving",,,,,,,,,,,,
WDH1.HA,Dermant AS,stock,Revolut,Euro,IN_POS,IN_POS,25.62,33.70,32.35,26.3%,Attractive,⭐,46,46,1.26%,ON,NO,OPEN,,Normal Range,1,75.0%,42.8,53.5,0.120,0.035,,,10,80.0%,80.0%,1.80%,81.06%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,34.8%,16.1%,OK,,52%,Mature,80.0%,52.0%,1.80%,Mid OK
CRM,Salesforce Inc,stock,Revolut,USD,WATCH,ARMED,170.85,194.00,186.24,9.0%,Near Target,⭐⭐,64,64,-3.13%,ON,NO,OFF,188.50,Lower Quartile,2,75.0%,38.2,31.3,0.477,-0.812,,Lower-low still forming (price still breaking down),47,66.0%,71.4%,3.18%,3848.85%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S4_WIDEATR,2Y,53.0%,23.7%,OK,,20%,Fresh,66.7%,66.7%,6.01%,Mid OK
FISV,Fiserv,stock,Revolut,USD,WATCH,WATCH,56.41,93.03,89.31,58.3%,Attractive,⭐,48,48,-0.39%,ON,NO,OFF,,Lower Quartile,0,66.7%,30.1,45.4,0.384,0.110,,,58,77.6%,83.3%,4.78%,3101.10%,TRAILING_STOP,S8_DI_GUARD_BUF,2Y,49.7%,22.3%,OK,,71%,Mature,83.3%,33.3%,10.48%,Mid OK
HBR.L,Harbour Energy,stock,Moneybase,GBP,WATCH,IN_POS,2.76,3.68,3.53,28.1%,Attractive,,21,21,1.40%,ON,NO,OFF,,Lower Quartile,-1,50.0%,67.5,48.1,0.880,-1.541,,,14,57.1%,66.7%,4.15%,162.74%,BACKTEST_END,S2_HOLD12_BUF,2Y,121.6%,48.9%,OK,,359%,Late,66.7%,13.3%,6.23%,Exhausted
INTU,Intuit,stock,Revolut,USD,WATCH,WATCH,361.69,619.95,595.15,64.5%,Attractive,⭐⭐,71,71,-7.14%,ON,NO,OFF,,Lower Quartile,0,44.4%,37.5,27.6,1.446,-3.990,,Lower-low still forming (price still breaking down),33,72.7%,55.6%,11.70%,2750.67%,HARD_STOP_FROM_ENTRY,S5_COMBO_BUF,2Y,51.2%,23.0%,OK,,16%,Fresh,62.5%,62.5%,6.89%,Mid OK
IQQY.DE,iShares Core MSCI Europe UCITS ETF EUR,etf,Revolut,Euro,WATCH,WAIT,38.17,,,,No Target,⭐,4,4,,,NO,,,ETF Pullback,,71.9%,,59.6,,0.207,0.0x [mild],"drawdown_macd_turn, rsi14=59.61, rsi_sup=56.40, dd20=0.000, dd_th=0.021, bullish_day, macd_improving",63,71.9%,71.9%,11.90%,10.11%,"drawdown_macd_turn, rsi14=59.61, rsi_sup=56.40, dd20=0.000, dd_th=0.021, bullish_day, macd_improving",,,,,,,,,,,,
ORCL,Oracle,stock,Revolut,USD,WATCH,ARMED,137.86,175.86,168.83,22.5%,Attractive,⭐⭐⭐,96,96,-4.04%,ON,NO,OFF,153.90,Lower Quartile,1,78.6%,39.6,37.7,0.684,-0.383,,Lower-low still forming (price still breaking down),53,73.6%,90.0%,5.92%,4070.49%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S2_HOLD12_BUF,2Y,230.8%,81.9%,OK,,22%,Fresh,100.0%,100.0%,15.52%,Early Edge
PUIG.MC,Puig Brands,stock,Revolut,Euro,WATCH,IN_POS,17.36,21.91,21.03,21.2%,Attractive,⭐⭐⭐,95,95,-0.69%,ON,NO,OFF,,Limited history,0,,63.9,59.3,0.058,-0.013,,,2,100.0%,100.0%,9.68%,20.29%,BACKTEST_END,S0_BASE,2Y,,,,,18%,Fresh,100.0%,100.0%,9.68%,Early Edge
REP.MC,Repsol,stock,Revolut,Euro,WATCH,IN_POS,22.92,29.61,28.43,24.0%,Attractive,,25,25,1.55%,ON,NO,OFF,,Lower Quartile,0,58.8%,84.4,52.7,0.181,-0.124,,,66,65.2%,73.3%,1.84%,1658.86%,BACKTEST_END,S11_VOLATILE_FAST,2Y,191.7%,70.8%,OK,,352%,Late,73.3%,14.7%,6.02%,Exhausted
SAN.PA,SAN,stock,Revolut,Euro,WATCH,IN_POS,80.92,115.90,111.26,37.5%,Attractive,⭐,59,59,0.06%,ON,NO,OPEN,,Normal Range,1,71.9%,51.1,55.1,0.347,-0.042,,Lower-low still forming (price still breaking down),64,79.7%,84.6%,3.10%,1636.93%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,48.5%,21.9%,OK,,39%,Mid,90.8%,77.2%,3.67%,Mid OK
SGE.L,Sage,stock,Moneybase,GBP,WATCH,IN_POS,8.36,10.63,10.20,22.1%,Attractive,⭐⭐⭐,100,100,-2.22%,ON,NO,OFF,,Lower Quartile,2,90.9%,31.1,47.8,2.189,-0.318,,Lower-low still forming (price still breaking down),44,68.2%,57.1%,4.68%,1873.27%,BACKTEST_END,S1_FAST,2Y,34.1%,15.8%,OK,,14%,Fresh,91.4%,91.4%,12.59%,Early Edge
TEF.MC,Telefonica,stock,Revolut,Euro,WATCH,IN_POS,3.84,4.79,4.60,19.7%,Moderate,⭐,54,54,-1.49%,ON,NO,OPEN,,Upper Quartile,-2,16.7%,52.5,60.6,0.027,0.001,,,59,66.1%,100.0%,2.19%,992.69%,BACKTEST_END,S2_HOLD12_BUF,2Y,66.8%,29.2%,OK,,51%,Mature,100.0%,65.0%,4.54%,Mid OK
XMEU.DE,Xtrackers MSCI Europe UCITS ETF 1C,etf,Revolut,Euro,WATCH,WAIT,111.76,,,,No Target,⭐⭐,5,5,,,NO,,,ETF Pullback,,80.7%,,59.9,,0.607,0.0x [mild],"drawdown_macd_turn, rsi14=59.95, rsi_sup=56.71, dd20=0.000, dd_th=0.022, bullish_day, macd_improving",62,80.7%,80.7%,15.12%,13.18%,"drawdown_macd_turn, rsi14=59.95, rsi_sup=56.71, dd20=0.000, dd_th=0.022, bullish_day, macd_improving",,,,,,,,,,,,
1ZAL.MI,Zalando SE,stock,Revolut,Euro,WAIT,WAIT,21.91,34.82,33.43,52.6%,Attractive,,29,29,0.00%,OFF,VALID,OFF,,Limited history,0,,39.9,55.4,-0.050,0.086,,,3,100.0%,100.0%,5.04%,17.27%,HARD_STOP_FROM_ENTRY,S0_BASE,2Y,17.3%,8.3%,BROKEN,YES,76%,Late,100.0%,40.0%,5.04%,Late Risk
AAPL,Apple,stock,Revolut,USD,WAIT,WAIT,260.49,14.87,14.28,-94.5%,Above Target,,22,22,0.61%,OFF,NO,OFF,,Lower Quartile,2,84.6%,50.2,55.6,0.304,0.548,,,51,74.5%,72.7%,8.23%,14873.24%,TRAILING_STOP,S8_DI_GUARD_BUF,2Y,106.9%,43.8%,OK,,140%,Late,72.7%,14.5%,6.17%,Exhausted
ADBE,Adobe,stock,Revolut,USD,WAIT,WAIT,229.94,387.28,371.79,61.7%,Attractive,,29,29,-3.92%,OFF,NO,OFF,,Lower Quartile,2,90.0%,32.6,31.7,-0.099,-0.519,,Lower-low still forming (price still breaking down),38,81.6%,88.9%,5.35%,1963.63%,TRAILING_STOP,S12_COMPOUNDER_HOLD,2Y,26.8%,12.6%,OK,,82%,Late,88.9%,35.6%,6.36%,Late Risk
AMP.MI,Amplifon,stock,Revolut,Euro,WAIT,WAIT,9.29,13.81,13.26,42.7%,Attractive,,20,20,0.28%,OFF,VALID,OFF,,Lower Quartile,1,78.6%,24.9,39.5,-0.084,0.055,,,55,83.6%,70.0%,4.55%,5155.94%,HARD_STOP_FROM_ENTRY,S1_FAST,2Y,9.2%,4.5%,BROKEN,YES,338%,Late,70.0%,14.0%,0.99%,Exhausted
AMS.MC,Amadeus,stock,Revolut,Euro,WAIT,WAIT,49.46,65.74,63.11,27.6%,Attractive,,11,11,-2.06%,OFF,NO,OFF,,Lower Quartile,0,58.8%,33.1,45.9,0.005,0.041,,Volatility still expanding on down closes (ATR rising),67,74.6%,83.3%,2.86%,2591.88%,TRAILING_STOP,S8_DI_GUARD_BUF,2Y,45.4%,20.6%,OK,,339%,Late,86.7%,17.3%,3.95%,Exhausted
BKNG,Booking,stock,Revolut,USD,WAIT,WAIT,176.60,5066.00,4863.36,2653.9%,Attractive,,16,16,-2.43%,OFF,VALID,OFF,,Lower Quartile,0,53.3%,44.8,12.0,-55.449,44.765,,Strong downtrend (ADX high & rising; -DI dominant),60,61.7%,66.7%,1.36%,6132.51%,TRAILING_STOP,S1_FAST,2Y,99.0%,41.1%,OK,,450%,Late,66.7%,13.3%,3.69%,Exhausted
BRE.MI,Freni Brembo,stock,Revolut,Euro,WAIT,WAIT,8.36,10.37,9.96,19.0%,Moderate,,19,19,-0.95%,OFF,NO,OFF,,Lower Quartile,2,85.7%,40.0,45.9,-0.066,0.034,,,56,85.7%,80.0%,5.94%,10623.87%,TRAILING_STOP,S8_DI_GUARD_BUF,2Y,72.7%,31.4%,OK,,464%,Late,80.0%,16.0%,3.86%,Exhausted
CAP.PA,CAP,stock,Revolut,Euro,WAIT,WAIT,98.42,156.16,149.91,52.3%,Attractive,,16,16,-4.63%,OFF,NO,OFF,,Lower Quartile,0,61.5%,36.8,40.0,-0.114,-0.056,,Lower-low still forming (price still breaking down),49,73.5%,81.8%,4.41%,2292.55%,TRAILING_STOP,S8_DI_GUARD,2Y,60.4%,26.6%,OK,,311%,Late,81.8%,16.4%,4.98%,Exhausted
DLG.MI,De Longhi,stock,Revolut,Euro,WAIT,WAIT,33.42,37.54,36.04,7.8%,Near Target,,17,17,-0.12%,OFF,VALID,OFF,,Normal Range,1,68.0%,42.0,54.4,-0.264,0.255,,,51,76.5%,75.0%,4.16%,9468.98%,HARD_STOP_FROM_ENTRY,S11_VOLATILE_FAST,2Y,51.3%,23.0%,OK,,214%,Late,60.0%,12.0%,0.90%,Exhausted
DSY.PA,DSY,stock,Revolut,Euro,WAIT,WAIT,16.92,25.75,24.72,46.1%,Attractive,,20,20,-4.05%,OFF,NO,OFF,,Lower Quartile,1,83.3%,29.9,39.6,0.038,-0.008,,Lower-low still forming (price still breaking down),48,81.2%,75.0%,5.09%,2334.77%,TRAILING_STOP,S1_FAST,2Y,23.1%,11.0%,BROKEN,YES,311%,Late,75.0%,15.0%,2.99%,Exhausted
DTE.DE,Deutsche Telekom AG,stock,Revolut,Euro,WAIT,WAIT,31.48,39.02,37.46,19.0%,Moderate,,24,24,2.17%,OFF,NO,OFF,,Lower Quartile,2,87.5%,52.2,46.3,-0.097,-0.009,,,64,73.4%,84.6%,3.08%,3138.51%,TRAILING_STOP,S1_FAST,2Y,102.9%,42.4%,OK,,235%,Late,84.6%,16.9%,5.38%,Exhausted
DWS.DE,DWS Group GmbH & Co. KGaA,stock,Revolut,Euro,WAIT,WAIT,57.15,65.94,63.30,10.8%,Moderate,,21,21,6.03%,OFF,VALID,OFF,,Normal Range,2,84.6%,50.0,55.5,-0.128,0.252,,,27,77.8%,85.7%,6.38%,821.02%,HARD_STOP_FROM_ENTRY,S6_TIGHT,2Y,125.1%,50.0%,OK,,126%,Late,85.7%,17.1%,7.83%,Exhausted
EMG.L,Man Group,stock,Moneybase,GBP,WAIT,WAIT,2.47,3.18,3.05,23.5%,Attractive,,11,11,-6.15%,OFF,NO,OFF,,Lower Quartile,2,78.6%,55.7,44.2,-0.562,-0.585,,Lower-low still forming (price still breaking down),54,75.9%,81.8%,2.56%,2936.62%,TRAILING_STOP,S11_VOLATILE_FAST,2Y,75.6%,32.5%,OK,,750%,Late,81.8%,16.4%,1.65%,Exhausted
FDR.MC,Fluidra,stock,Revolut,Euro,WAIT,WAIT,21.00,24.71,23.72,13.0%,Moderate,,34,34,-1.69%,OFF,VALID,OFF,,Lower Quartile,1,66.7%,38.4,51.7,-0.096,0.092,,,35,68.6%,80.0%,5.04%,3143.37%,HARD_STOP_FROM_ENTRY,S5_COMBO,2Y,85.5%,36.2%,OK,,82%,Late,80.0%,32.0%,5.73%,Late Risk
FME.DE,Fresenius Medical Care,stock,Revolut,Euro,WAIT,WAIT,40.25,54.22,52.05,29.3%,Attractive,,11,11,2.91%,OFF,VALID,OFF,,Normal Range,1,80.0%,42.0,59.8,0.022,0.134,,,53,77.4%,92.3%,2.45%,1313.62%,TRAILING_STOP,S8_DI_GUARD_BUF,2Y,63.2%,27.7%,OK,,171%,Late,92.3%,18.5%,3.77%,Exhausted
FRA.DE,Fuchs Petrolub,stock,Revolut,Euro,WAIT,WAIT,81.05,46.61,44.75,-44.8%,Above Target,,8,8,7.07%,OFF,VALID,OFF,,Upper Quartile,0,60.0%,53.2,61.9,-0.073,0.491,,,65,70.8%,84.6%,2.24%,1396.50%,TRAILING_STOP,S1_FAST,2Y,110.9%,45.2%,OK,,339%,Late,84.6%,16.9%,3.30%,Exhausted
HEN3.DE,Henkel VZO,stock,Revolut,Euro,WAIT,WAIT,66.96,84.24,80.87,20.8%,Attractive,,11,11,4.20%,OFF,NO,OFF,,Lower Quartile,1,70.6%,36.7,38.4,-0.653,0.221,,,65,67.7%,80.0%,1.96%,1202.96%,TRAILING_STOP,S11_VOLATILE_FAST,2Y,44.8%,20.3%,OK,,339%,Late,80.0%,16.0%,2.39%,Exhausted
HYQ.DE,Hypoport SE,stock,Revolut,Euro,WAIT,WAIT,80.35,117.04,112.36,39.8%,Attractive,,12,12,11.21%,OFF,VALID,OFF,,Lower Quartile,1,61.5%,30.3,51.0,0.142,0.764,,,52,65.4%,53.8%,10.00%,254256.58%,HARD_STOP_FROM_ENTRY,S2_HOLD12_BUF,2Y,117.4%,47.4%,OK,,111%,Late,53.8%,10.8%,1.12%,Exhausted
III.L,3I Group,stock,Moneybase,GBP,WAIT,WAIT,26.98,31.74,30.47,13.0%,Moderate,,18,18,1.39%,OFF,VALID,OFF,,Lower Quartile,2,72.7%,36.6,46.4,-1.148,16.590,,,43,74.4%,85.7%,3.09%,4081.03%,HARD_STOP_FROM_ENTRY,S3_HOLD16_BUF,2Y,73.0%,31.5%,OK,,120%,Late,85.7%,17.1%,21.02%,Exhausted
IP.MI,Interpump,stock,Revolut,Euro,WAIT,WAIT,36.40,42.02,40.34,10.8%,Moderate,,16,16,-0.27%,OFF,VALID,OFF,,Normal Range,0,65.2%,38.4,55.7,-0.177,0.268,,,49,75.5%,90.0%,6.75%,6881.15%,TRAILING_STOP,S6_TIGHT,2Y,82.2%,35.0%,OK,,391%,Late,90.0%,18.0%,2.35%,Exhausted
ITRK.L,Intertek,stock,Moneybase,GBP,WAIT,WAIT,37.70,51.36,49.31,30.8%,Attractive,,20,20,-0.92%,OFF,VALID,OFF,,Lower Quartile,1,71.4%,29.8,45.4,-9.542,13.123,,,56,73.2%,76.9%,3.92%,2225.48%,HARD_STOP_FROM_ENTRY,S11_VOLATILE_FAST,2Y,62.2%,27.4%,OK,,189%,Late,76.9%,15.4%,3.87%,Exhausted
KNOS.L,Kainos Group,stock,Moneybase,GBP,WAIT,WAIT,7.50,10.37,9.96,32.6%,Attractive,,16,16,-3.91%,OFF,NO,OFF,,Lower Quartile,0,50.0%,42.1,49.5,-0.470,0.670,,,24,66.7%,60.0%,5.16%,1998.59%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,S12_RECOVERY,2Y,85.2%,36.1%,OK,,651%,Late,60.0%,12.0%,1.90%,Exhausted
KO,Coca-Cola Co,stock,Revolut,USD,WAIT,WAIT,78.18,72.46,69.56,-11.0%,Above Target,,17,17,1.15%,OFF,VALID,OFF,,Normal Range,1,89.3%,55.3,58.5,-0.049,0.156,,,56,80.4%,76.9%,2.93%,902.56%,TRAILING_STOP,S6_TIGHT,2Y,71.0%,30.8%,OK,,260%,Late,76.9%,15.4%,3.73%,Exhausted
MAP.MC,Mapfre,stock,Revolut,Euro,WAIT,WAIT,4.06,4.95,4.75,17.1%,Moderate,,24,24,0.20%,OFF,VALID,OFF,,Extended,1,91.7%,52.1,70.4,0.007,0.014,,,69,73.9%,86.7%,2.40%,2356.43%,HARD_STOP_FROM_ENTRY,S8_DI_GUARD_BUF,2Y,133.8%,52.9%,OK,,414%,Late,86.7%,17.3%,7.10%,Exhausted
MC.PA,MC,stock,Revolut,Euro,WAIT,WAIT,483.95,616.05,591.41,22.2%,Attractive,,12,12,-2.99%,OFF,VALID,OFF,,Lower Quartile,1,63.6%,35.5,49.2,-2.237,1.701,,Volatility still expanding on down closes (ATR rising),43,67.4%,50.0%,4.70%,2328.25%,RSI_BAND_DROP,S4_WIDEATR,2Y,86.3%,36.5%,OK,,495%,Late,50.0%,10.0%,1.05%,Exhausted
MONY.L,Moneysupermarket,stock,Moneybase,GBP,WAIT,WAIT,1.58,2.39,2.29,45.5%,Attractive,,3,3,1.68%,OFF,VALID,OFF,,Lower Quartile,1,69.2%,35.0,49.9,-0.565,0.576,,,50,54.0%,45.5%,1.42%,716.85%,TRAILING_STOP,S1_FAST,2Y,11.5%,5.6%,BROKEN,YES,140%,Late,45.5%,9.1%,-0.68%,Exhausted
MRK.DE,Merck,stock,Revolut,Euro,WAIT,WAIT,112.90,138.46,132.92,17.7%,Moderate,,24,24,5.17%,OFF,VALID,OFF,,Lower Quartile,2,84.6%,42.6,53.1,-0.335,0.602,,,52,76.9%,69.2%,4.47%,3425.71%,HARD_STOP_FROM_ENTRY,S6_TIGHT,2Y,47.2%,21.3%,OK,,143%,Late,69.2%,13.8%,3.21%,Exhausted
MSFT,MICROSOFT,stock,Revolut,USD,WAIT,WAIT,373.07,462.66,444.15,19.1%,Moderate,,19,19,-0.34%,OFF,NO,OFF,,Lower Quartile,2,92.3%,33.4,40.0,-0.219,0.614,,,49,79.6%,90.0%,3.59%,4596.18%,RSI_BAND_DROP,S8_DI_GUARD_BUF,2Y,63.7%,27.9%,OK,,111%,Late,90.0%,18.0%,3.17%,Exhausted
MUV2.DE,CTS Eventim AG,stock,Revolut,Euro,WAIT,WAIT,551.80,78.74,75.59,-86.3%,Above Target,,13,13,0.99%,OFF,VALID,OFF,,Extended,1,77.8%,52.3,62.3,1.408,1.164,,,62,83.9%,100.0%,5.07%,3816.96%,TRAILING_STOP,S11_VOLATILE_FAST,2Y,68.8%,29.9%,OK,,214%,Late,100.0%,20.0%,4.87%,Exhausted
NKE,Nike,stock,Revolut,USD,WAIT,WAIT,44.00,63.30,60.77,38.1%,Attractive,,16,16,2.02%,OFF,NO,OFF,,Lower Quartile,1,80.0%,23.2,24.9,-0.484,-0.003,,Strong downtrend (ADX high & rising; -DI dominant),40,77.5%,77.8%,5.11%,1258.45%,HARD_STOP_FROM_ENTRY,S12_RECOVERY,2Y,31.4%,14.6%,OK,,114%,Late,62.2%,12.4%,3.17%,Exhausted
NVDA,NVIDIA,stock,Revolut,USD,WAIT,WAIT,183.91,218.70,209.95,14.2%,Moderate,,18,18,1.01%,OFF,NO,OFF,,Lower Quartile,2,100.0%,49.6,56.6,0.307,0.670,,,44,88.6%,85.7%,12.37%,216860.07%,TRAILING_STOP,S8_DI_GUARD,2Y,201.3%,73.6%,OK,,291%,Late,85.7%,17.1%,18.63%,Exhausted
PIRC.MI,Pirelli & C,stock,Revolut,Euro,WAIT,WAIT,6.14,8.48,8.14,32.5%,Attractive,,16,16,-1.13%,OFF,VALID,OFF,,Normal Range,1,75.0%,48.9,58.7,-0.001,0.016,,,26,76.9%,84.6%,4.01%,294.24%,HARD_STOP_FROM_ENTRY,S11_VOLATILE_FAST,2Y,63.6%,27.9%,OK,,239%,Late,87.7%,17.5%,6.07%,Exhausted
QCOM,Qualcomm,stock,Revolut,USD,WAIT,WAIT,127.75,174.47,167.49,31.1%,Attractive,,16,16,0.19%,OFF,VALID,OFF,,Lower Quartile,1,78.6%,30.3,40.9,-0.214,0.259,,,55,80.0%,82.4%,3.81%,6585.34%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S1_FAST,2Y,100.8%,41.7%,OK,,117%,Late,69.4%,13.9%,2.98%,Exhausted
QLT.L,Quilter,stock,Moneybase,GBP,WAIT,WAIT,1.83,2.22,2.13,16.3%,Moderate,,28,28,-0.38%,OFF,NO,OFF,,Lower Quartile,-1,42.9%,50.0,55.0,-0.328,0.580,,,25,68.0%,71.4%,3.17%,220.72%,TRAILING_STOP,S8_DI_GUARD_BUF,2Y,75.9%,32.6%,OK,,164%,Late,71.4%,14.3%,3.19%,Exhausted
REY.MI,Reply,stock,Revolut,Euro,WAIT,WAIT,79.30,125.55,120.53,52.0%,Attractive,,12,12,-3.41%,OFF,NO,OFF,,Lower Quartile,0,53.8%,29.8,39.0,-0.119,0.063,,Lower-low still forming (price still breaking down),52,78.8%,58.3%,5.79%,14132.61%,TRAILING_STOP,S8_DI_GUARD_BUF,2Y,65.4%,28.6%,OK,,314%,Late,58.3%,11.7%,1.51%,Exhausted
RI.PA,RI,stock,Revolut,Euro,WAIT,WAIT,64.62,77.45,74.35,15.1%,Moderate,,24,24,0.12%,OFF,VALID,OFF,,Lower Quartile,2,94.1%,30.1,41.6,-0.499,0.225,,,65,72.3%,69.2%,3.59%,1166.45%,TRAILING_STOP,S11_VOLATILE_FAST,2Y,28.8%,13.5%,OK,,419%,Late,69.2%,13.8%,0.73%,Exhausted
SAP.DE,SAP,stock,Revolut,Euro,WAIT,WAIT,149.70,183.99,176.63,18.0%,Moderate,,23,23,3.08%,OFF,NO,OFF,,Lower Quartile,1,72.7%,25.4,39.5,-0.501,0.465,,,41,68.3%,83.3%,6.01%,1504.81%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S4_WIDEATR,2Y,106.1%,43.6%,OK,,269%,Late,66.7%,13.3%,16.56%,Exhausted
