Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason
FISV,Fiserv,stock,Revolut,USD,WATCH,IN_POS,56.34,96.40,92.54,64.3%,Attractive,⭐⭐⭐,9,-2.37%,ON,NO,OFF,,Lower Quartile,0,66.7%,27.1,37.8,0.319,-0.049,Lower-low still forming (price still breaking down),45,77.8%,57.1%,7.59%,1706.43%,BACKTEST_END
GNN.F,GN Store Nord,stock,Revolut,Euro,WATCH,WATCH,12.60,16.28,15.63,24.1%,Attractive,⭐⭐⭐,11,-1.14%,ON,NO,OFF,,Lower Quartile,1,75.0%,44.0,48.5,0.007,-0.010,,47,74.5%,69.2%,5.21%,7979.70%,HARD_STOP_FROM_ENTRY
SCR.PA,SCOR SE,stock,Revolut,Euro,WATCH,IN_POS,30.12,35.14,33.73,12.0%,Moderate,⭐⭐⭐,11,-0.07%,ON,NO,OPEN,,Lower Quartile,0,64.3%,57.0,52.2,0.028,-0.048,,53,67.9%,85.7%,3.20%,1954.07%,BACKTEST_END
0B2.F,Bawag,stock,Revolut,Euro,WAIT,WAIT,128.30,102.45,98.35,-23.3%,Above Target,⭐⭐,5,-0.39%,OFF,VALID,OFF,,Lower Quartile,2,80.0%,55.9,51.4,-0.248,0.386,,19,73.7%,75.0%,6.09%,498.21%,TRAILING_STOP
3P7.DE,Pandora,stock,Revolut,Euro,WAIT,WAIT,64.42,94.75,90.96,41.2%,Attractive,⭐,4,0.31%,OFF,VALID,OFF,,Limited history,0,,30.3,49.0,0.312,0.455,,0,,,,,Insufficient history
8ZI.DU,Scandinavian Tobacco,stock,Revolut,Euro,WAIT,WAIT,8.88,13.40,12.86,44.9%,Attractive,⭐⭐⭐,10,-0.78%,OFF,VALID,OFF,,Lower Quartile,1,75.0%,27.0,24.2,-0.170,0.033,Lower-low still forming (price still breaking down),13,69.2%,69.2%,2.17%,51.53%,HARD_STOP_FROM_ENTRY
AC.PA,AC,stock,Revolut,Euro,WAIT,WAIT,40.91,50.04,48.04,17.4%,Moderate,⭐⭐⭐,13,1.59%,OFF,NO,OFF,,Lower Quartile,2,71.4%,38.8,38.4,-0.301,0.082,Strong downtrend (ADX high & rising; -DI dominant),53,67.9%,88.9%,4.97%,2840.07%,TRAILING_STOP
ADBE,Adobe,stock,Revolut,USD,WAIT,WAIT,238.87,389.47,373.89,56.5%,Attractive,⭐⭐⭐,14,-3.54%,OFF,NO,OFF,,Lower Quartile,2,90.0%,28.9,31.0,-0.936,-0.771,Lower-low still forming (price still breaking down),40,80.0%,81.8%,5.06%,1836.03%,TRAILING_STOP
ADSK,Autodesk,stock,Revolut,USD,WAIT,WAIT,239.39,315.66,303.03,26.6%,Attractive,⭐⭐⭐,13,-3.25%,OFF,NO,OFF,,Lower Quartile,1,66.7%,39.9,40.8,-0.180,-0.818,Lower-low still forming (price still breaking down),57,68.4%,75.0%,6.11%,5226.18%,TREND_BREAK_MA40_TWO_NEG_SLOPE
AKE.PA,Arkema,stock,Revolut,Euro,WAIT,WAIT,54.30,65.36,62.75,15.6%,Moderate,⭐⭐⭐,11,2.55%,OFF,VALID,OFF,,Lower Quartile,2,81.8%,48.3,47.4,0.001,0.136,,44,61.4%,70.0%,2.02%,1639.95%,TRAILING_STOP
AKE.PA,AKE,stock,Revolut,Euro,WAIT,WAIT,54.30,65.34,62.73,15.5%,Moderate,⭐⭐⭐,11,2.55%,OFF,VALID,OFF,,Lower Quartile,2,81.8%,48.3,47.4,0.001,0.136,,44,61.4%,70.0%,2.02%,1639.95%,TRAILING_STOP
AMP.MI,Amplifon,stock,Revolut,Euro,WAIT,WAIT,8.74,13.81,13.26,51.6%,Attractive,⭐⭐⭐,13,4.10%,OFF,VALID,OFF,,Lower Quartile,2,81.8%,21.4,27.4,-0.162,0.045,Strong downtrend (ADX high & rising; -DI dominant),43,83.7%,77.8%,5.03%,4635.94%,HARD_STOP_FROM_ENTRY
AMS.MC,Amadeus,stock,Revolut,Euro,WAIT,WAIT,49.68,68.28,65.55,31.9%,Attractive,⭐⭐⭐,12,0.30%,OFF,NO,OFF,,Lower Quartile,1,90.9%,32.6,41.0,-0.069,-0.037,,43,76.7%,77.8%,2.86%,950.31%,TREND_BREAK_MA40_TWO_NEG_SLOPE
BC8.DE,Bechtle AG,stock,Revolut,Euro,WAIT,WAIT,26.44,39.49,37.91,43.4%,Attractive,⭐⭐⭐,11,0.00%,OFF,NO,OFF,,Lower Quartile,2,72.7%,29.7,20.4,-0.536,-0.129,Strong downtrend (ADX high & rising; -DI dominant),41,61.0%,45.5%,4.04%,5405.01%,HARD_STOP_FROM_ENTRY
BRE.MI,Freni Brembo,stock,Revolut,Euro,WAIT,WAIT,7.76,10.93,10.49,35.1%,Attractive,⭐⭐⭐,12,1.64%,OFF,NO,OFF,,Lower Quartile,2,83.3%,34.7,27.9,-0.126,0.001,Strong downtrend (ADX high & rising; -DI dominant),47,78.7%,66.7%,5.04%,5971.14%,TRAILING_STOP
CAH,Cardinal Health,stock,Revolut,USD,WAIT,WAIT,207.23,257.10,246.82,19.1%,Moderate,⭐⭐⭐,12,0.40%,OFF,NO,OFF,,Lower Quartile,1,78.6%,48.2,36.7,-1.253,-0.355,Lower-low still forming (price still breaking down),54,77.8%,87.5%,5.54%,4412.37%,RSI_BAND_DROP
CAP.PA,CAP,stock,Revolut,Euro,WAIT,WAIT,96.36,173.33,166.40,72.7%,Attractive,⭐⭐⭐,9,-1.91%,OFF,NO,OFF,,Lower Quartile,0,54.5%,30.7,28.8,-0.944,-0.298,Lower-low still forming (price still breaking down),44,72.7%,54.5%,3.49%,1891.50%,TRAILING_STOP
CBH.F,Coloplast,stock,Revolut,Euro,WAIT,WAIT,5.65,82.67,79.36,1304.7%,Attractive,⭐⭐⭐,9,2.73%,OFF,NO,OFF,,Lower Quartile,1,100.0%,25.5,36.9,-0.023,0.004,,15,53.3%,57.1%,1.85%,59.06%,TREND_BREAK_MA40_TWO_NEG_SLOPE
DHL.DE,Deutsche Post,stock,Revolut,Euro,WAIT,WAIT,44.82,55.05,52.85,17.9%,Moderate,⭐⭐⭐,11,0.61%,OFF,VALID,OFF,,Lower Quartile,2,100.0%,49.2,40.7,-0.251,0.039,,32,81.2%,80.0%,7.76%,1303.25%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND
DIA.MI,Diasorin,stock,Revolut,Euro,WAIT,WAIT,58.30,78.62,75.48,29.5%,Attractive,⭐⭐⭐,10,4.82%,OFF,NO,OFF,,Lower Quartile,0,69.2%,30.0,29.1,-0.625,-0.260,Strong downtrend (ADX high & rising; -DI dominant),51,54.9%,53.8%,2.28%,1297.94%,TREND_BREAK_MA40_TWO_NEG_SLOPE
DLG.MI,De Longhi,stock,Revolut,Euro,WAIT,WAIT,29.52,41.52,39.86,35.0%,Attractive,⭐⭐⭐,13,-1.60%,OFF,NO,OFF,,Lower Quartile,2,81.8%,34.3,23.7,-0.546,-0.093,Strong downtrend (ADX high & rising; -DI dominant),44,65.9%,70.0%,4.35%,4784.69%,TRAILING_STOP
DSY.PA,DSY,stock,Revolut,Euro,WAIT,WAIT,16.59,26.84,25.77,55.3%,Attractive,⭐⭐⭐,13,-2.44%,OFF,NO,OFF,,Lower Quartile,1,72.7%,23.5,28.5,-0.095,-0.055,Lower-low still forming (price still breaking down),41,80.5%,80.0%,7.98%,1913.28%,TRAILING_STOP
DWS.DE,DWS Group GmbH & Co. KGaA,stock,Revolut,Euro,WAIT,WAIT,52.90,71.47,68.61,29.7%,Attractive,⭐⭐⭐,13,-1.03%,OFF,NO,OFF,,Lower Quartile,2,100.0%,44.4,34.4,-0.390,-0.064,,19,84.2%,100.0%,12.69%,691.30%,TRAILING_STOP
EMG.L,Man Group,stock,Moneybase,GBP,WAIT,WAIT,2.46,3.18,3.05,24.2%,Attractive,⭐⭐⭐,13,1.32%,OFF,NO,OFF,,Lower Quartile,2,83.3%,49.2,40.9,-1.618,-0.145,Strong downtrend (ADX high & rising; -DI dominant),46,73.9%,77.8%,2.57%,2819.20%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND
EN.PA,EN,stock,Revolut,Euro,WAIT,WAIT,49.56,60.13,57.72,16.5%,Moderate,⭐⭐⭐,10,0.53%,OFF,NO,OFF,,Lower Quartile,1,71.4%,64.0,50.2,-0.077,-0.023,,55,70.9%,63.6%,2.09%,1500.60%,TRAILING_STOP
FDR.MC,Fluidra,stock,Revolut,Euro,WAIT,WAIT,19.48,25.56,24.54,26.0%,Attractive,⭐⭐⭐,11,-0.10%,OFF,VALID,OFF,,Lower Quartile,1,63.6%,34.2,28.4,-0.198,0.038,,41,63.4%,64.3%,4.10%,4234.38%,HARD_STOP_FROM_ENTRY
FME.DE,Fresenius Medical Care,stock,Revolut,Euro,WAIT,WAIT,37.94,56.81,54.54,43.7%,Attractive,⭐⭐⭐,12,1.25%,OFF,NO,OFF,,Lower Quartile,1,75.0%,38.7,40.0,-0.050,-0.056,,46,71.7%,77.8%,2.42%,669.89%,TRAILING_STOP
GEST.MC,Gestamp Automocion,stock,Revolut,Euro,WAIT,WAIT,3.04,3.75,3.60,18.5%,Moderate,⭐⭐⭐,8,0.33%,OFF,VALID,OFF,,Lower Quartile,2,85.7%,47.8,48.1,-0.002,0.005,,27,55.6%,45.5%,1.23%,320.51%,TREND_BREAK_MA40_TWO_NEG_SLOPE
GRF.MC,Grifols,stock,Revolut,Euro,WAIT,WAIT,8.84,12.48,11.98,35.5%,Attractive,⭐⭐⭐,12,0.36%,OFF,NO,OFF,,Lower Quartile,0,53.8%,29.3,25.7,-0.089,-0.000,Strong downtrend (ADX high & rising; -DI dominant),52,69.2%,70.0%,3.40%,5071.89%,HARD_STOP_FROM_ENTRY
HYQ.DE,Hypoport SE,stock,Revolut,Euro,WAIT,WAIT,73.30,117.04,112.36,53.3%,Attractive,⭐⭐⭐,11,-4.06%,OFF,NO,OFF,,Lower Quartile,1,61.5%,26.9,32.3,-0.408,-0.394,Lower-low still forming (price still breaking down),50,64.0%,50.0%,6.66%,108961.69%,HARD_STOP_FROM_ENTRY
IP.MI,Interpump,stock,Revolut,Euro,WAIT,WAIT,32.00,41.97,40.29,25.9%,Attractive,⭐⭐⭐,13,-0.06%,OFF,NO,OFF,,Lower Quartile,2,80.0%,31.7,29.9,-0.499,0.096,Strong downtrend (ADX high & rising; -DI dominant),38,78.9%,88.9%,6.90%,6256.71%,TRAILING_STOP
IQQY.DE,iShares Core MSCI Europe UCITS ETF EUR,etf,Revolut,Euro,WAIT,WAIT,35.96,,,,No Target,⭐⭐⭐,9,0.42%,OFF,NO,OFF,,Lower Quartile,1,92.9%,45.6,34.6,-0.159,-0.032,Strong downtrend (ADX high & rising; -DI dominant),56,78.6%,70.0%,2.30%,621.86%,TRAILING_STOP
KNOS.L,Kainos Group,stock,Moneybase,GBP,WAIT,WAIT,7.07,10.75,10.32,46.0%,Attractive,⭐⭐⭐,9,-3.48%,OFF,NO,OFF,,Lower Quartile,1,50.0%,35.7,37.2,-6.728,-2.517,Lower-low still forming (price still breaking down),32,59.4%,42.9%,5.56%,1645.57%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND
MAP.MC,Mapfre,stock,Revolut,Euro,WAIT,WAIT,3.72,4.73,4.54,22.0%,Attractive,⭐⭐⭐,14,0.76%,OFF,VALID,OFF,,Lower Quartile,1,73.3%,44.8,45.4,-0.011,0.006,Strong downtrend (ADX high & rising; -DI dominant),58,70.7%,85.7%,2.46%,1505.46%,RSI_BAND_DROP
MC.PA,MC,stock,Revolut,Euro,WAIT,WAIT,460.75,632.78,607.47,31.8%,Attractive,⭐⭐⭐,10,-1.25%,OFF,NO,OFF,,Lower Quartile,1,66.7%,32.5,28.7,-4.370,0.065,Volatility still expanding on down closes (ATR rising),47,70.2%,55.6%,5.08%,3680.39%,RSI_BAND_DROP
MONY.L,Moneysupermarket,stock,Moneybase,GBP,WAIT,WAIT,1.52,2.96,2.84,86.5%,Attractive,⭐⭐⭐,10,-1.80%,OFF,NO,OFF,,Lower Quartile,1,72.7%,35.9,34.8,-0.654,-0.681,Lower-low still forming (price still breaking down),41,56.1%,50.0%,2.61%,655.07%,TREND_BREAK_MA40_TWO_NEG_SLOPE
MRK.DE,Merck,stock,Revolut,Euro,WAIT,WAIT,103.35,135.51,130.09,25.9%,Attractive,⭐⭐⭐,11,0.54%,OFF,NO,OFF,,Lower Quartile,1,66.7%,35.1,28.6,-1.073,-0.105,Strong downtrend (ADX high & rising; -DI dominant),46,67.4%,61.5%,6.27%,2307.20%,HARD_STOP_FROM_ENTRY
MSFT,MICROSOFT,stock,Revolut,USD,WAIT,WAIT,372.74,475.11,456.11,22.4%,Attractive,⭐⭐⭐,13,-2.68%,OFF,NO,OFF,,Lower Quartile,2,83.3%,28.1,28.4,-1.046,-1.108,Lower-low still forming (price still breaking down),46,76.1%,70.0%,5.90%,3833.11%,TREND_BREAK_MA40_TWO_NEG_SLOPE
NEXI.MI,Nexi,stock,Revolut,Euro,WAIT,WAIT,2.97,3.94,3.78,27.4%,Attractive,⭐⭐⭐,9,2.34%,OFF,VALID,OFF,,Lower Quartile,0,60.0%,33.5,44.7,0.002,0.014,,19,63.2%,66.7%,3.85%,120.91%,HARD_STOP_FROM_ENTRY
NKT.SG,NKT Holding,stock,Revolut,Euro,WAIT,WAIT,103.60,128.27,123.14,18.9%,Moderate,⭐⭐⭐,9,-1.15%,OFF,NO,OFF,,Lower Quartile,2,75.0%,55.0,42.4,-0.572,-0.126,,13,76.9%,66.7%,8.24%,354.23%,RSI_BAND_DROP
NOV.DE,Novo Nordisk B,stock,Revolut,Euro,WAIT,WAIT,31.85,55.19,52.98,66.3%,Attractive,⭐⭐⭐,11,0.81%,OFF,VALID,OFF,,Lower Quartile,1,69.2%,34.2,33.3,-0.219,0.087,Strong downtrend (ADX high & rising; -DI dominant),52,67.3%,40.0%,2.32%,2822.22%,TRAILING_STOP
P911.DE,Dr Ing hc F Porsche Prf,stock,Revolut,Euro,WAIT,WAIT,37.26,49.86,47.87,28.5%,Attractive,⭐⭐⭐,8,-0.13%,OFF,VALID,OFF,,Lower Quartile,0,50.0%,37.0,40.8,-0.118,0.073,,8,25.0%,25.0%,-1.49%,-4.55%,HARD_STOP_FROM_ENTRY
PIRC.MI,Pirelli & C,stock,Revolut,Euro,WAIT,WAIT,5.76,7.89,7.57,31.5%,Attractive,⭐⭐⭐,12,0.98%,OFF,VALID,OFF,,Lower Quartile,2,83.3%,43.1,43.2,-0.021,0.012,,22,72.7%,72.7%,3.44%,218.75%,TRAILING_STOP
QCOM,Qualcomm,stock,Revolut,USD,WAIT,WAIT,128.67,174.55,167.57,30.2%,Attractive,⭐⭐⭐,12,0.25%,OFF,NO,OFF,,Lower Quartile,1,83.3%,31.4,32.1,-0.236,0.054,Lower-low still forming (price still breaking down),47,80.9%,73.3%,3.68%,5564.59%,TREND_BREAK_MA40_TWO_NEG_SLOPE
RAT.L,Rathbones,stock,Moneybase,GBP,WAIT,WAIT,20.05,26.89,25.81,28.8%,Attractive,⭐⭐⭐,10,-0.50%,OFF,NO,OFF,,Lower Quartile,0,66.7%,43.3,36.5,-11.616,-2.201,,45,71.1%,62.5%,3.50%,922.29%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND
SAN.PA,SAN,stock,Revolut,Euro,WAIT,WAIT,77.77,113.44,108.90,40.0%,Attractive,⭐⭐⭐,14,1.22%,OFF,VALID,OFF,,Lower Quartile,1,85.7%,42.4,48.4,0.020,0.095,,54,75.9%,81.8%,3.32%,1119.74%,TRAILING_STOP
SN.L,Smith & Nephew,stock,Moneybase,GBP,WAIT,WAIT,12.05,15.04,14.44,19.8%,Moderate,⭐⭐⭐,12,1.47%,OFF,NO,OFF,,Lower Quartile,1,76.9%,41.3,37.5,-5.526,-0.966,,52,75.0%,91.7%,3.98%,1363.07%,RSI_BAND_DROP
SSPG.L,SSP Group,stock,Moneybase,GBP,WAIT,WAIT,1.76,2.36,2.27,28.4%,Attractive,⭐⭐⭐,9,-0.23%,OFF,VALID,OFF,,Lower Quartile,1,55.6%,48.1,41.2,-1.102,0.204,,36,69.4%,40.0%,2.20%,1008.88%,HARD_STOP_FROM_ENTRY
T2V1.F,Tryg,stock,Revolut,Euro,WAIT,WAIT,20.14,28.15,27.02,34.2%,Attractive,⭐⭐⭐,10,-0.79%,OFF,NO,OFF,,Lower Quartile,0,66.7%,41.6,44.4,-0.028,-0.028,Lower-low still forming (price still breaking down),46,80.4%,69.2%,3.77%,862.00%,TRAILING_STOP
TEP.PA,TEP,stock,Revolut,Euro,WAIT,WAIT,46.05,83.81,80.46,74.7%,Attractive,⭐⭐⭐,9,-6.99%,OFF,NO,OFF,,Lower Quartile,0,63.6%,30.3,33.3,-0.339,-0.368,Lower-low still forming (price still breaking down),41,63.4%,40.0%,6.28%,2518.39%,HARD_STOP_FROM_ENTRY
TRE.MC,Tecnicas Reunidas,stock,Revolut,Euro,WAIT,WAIT,30.18,34.93,33.53,11.1%,Moderate,⭐⭐⭐,10,0.33%,OFF,VALID,OFF,,Lower Quartile,1,64.3%,52.9,48.5,-0.171,0.132,,55,65.5%,62.5%,2.14%,3350.10%,TRAILING_STOP
UPS,United Parcel Service,stock,Revolut,USD,WAIT,WAIT,98.44,118.21,113.48,15.3%,Moderate,⭐⭐⭐,12,0.79%,OFF,VALID,OFF,,Lower Quartile,2,100.0%,41.1,35.0,-0.565,0.211,,46,89.1%,90.9%,4.36%,2243.99%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND
VUAA.MI,Vanguard S&P 500 UCITS ETF USD Accumulation,etf,Revolut,Euro,WAIT,WAIT,109.34,,,,No Target,⭐⭐,7,-0.09%,OFF,NO,OFF,,Lower Quartile,1,100.0%,46.3,35.3,-0.275,-0.100,,12,75.0%,71.4%,3.31%,108.93%,TRAILING_STOP
WDH.F,Demant,stock,Revolut,Euro,WAIT,WAIT,11.80,34.35,32.98,179.5%,Attractive,⭐⭐⭐,11,0.00%,OFF,NO,OFF,,Lower Quartile,0,100.0%,35.1,41.7,-0.032,-0.015,,8,87.5%,87.5%,1.56%,63.26%,HARD_STOP_FROM_ENTRY
XAD5.MI,Xtrackers Physical Gold ETC (EUR,etf,Moneybase,Euro,WAIT,WAIT,365.66,,,,No Target,⭐⭐⭐,9,1.42%,OFF,NO,OFF,,Lower Quartile,1,83.3%,49.2,30.3,-4.295,-2.381,,48,77.1%,100.0%,2.86%,567.98%,TRAILING_STOP
XMEU.DE,Xtrackers MSCI Europe UCITS ETF 1C,etf,Revolut,Euro,WAIT,WAIT,105.06,,,,No Target,⭐⭐⭐,9,0.21%,OFF,NO,OFF,,Lower Quartile,1,76.9%,46.7,34.1,-0.475,-0.112,Strong downtrend (ADX high & rising; -DI dominant),51,78.4%,72.7%,2.63%,713.97%,TRAILING_STOP
