Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
CAP.PA,CAP,stock,Revolut,Euro,WAIT,WAIT,101.60,156.16,149.91,47.6%,Attractive,,16,16,1.09%,OFF,VALID,OFF,,Lower Quartile,0,60.0%,35.7,45.2,-0.214,0.414,,,38,76.3%,60.0%,3.07%,1385.70%,RSI_BAND_DROP,S5_COMBO,293%,Late,60.0%,12.0%,1.78%,Exhausted
CRM,Salesforce Inc,stock,Revolut,USD,WAIT,WAIT,186.24,194.00,186.24,-0.0%,Above Target,,9,9,-0.23%,OFF,VALID,OFF,,Lower Quartile,2,81.2%,32.4,43.6,-0.318,0.161,,,63,76.2%,55.6%,4.11%,9400.56%,TRAILING_STOP,S11_VOLATILE_FAST,595%,Late,55.6%,11.1%,3.97%,Exhausted
CTEC.L,BioPharma Credit,stock,Moneybase,GBP,WAIT,WAIT,2.20,0.91,0.87,-60.2%,Above Target,,38,38,1.95%,OFF,NO,OFF,,Lower Quartile,2,80.0%,41.5,40.9,-0.753,0.028,,,18,88.9%,90.0%,3.05%,340.50%,HARD_STOP_FROM_ENTRY,S2_HOLD12,68%,Mature,92.0%,59.8%,2.73%,Mid OK
DLG.MI,De Longhi,stock,Revolut,Euro,WAIT,WAIT,31.34,37.54,36.04,15.0%,Moderate,,20,20,4.54%,OFF,VALID,OFF,,Lower Quartile,2,91.7%,41.5,42.7,-0.277,0.215,,,48,72.9%,70.0%,4.54%,8335.37%,TRAILING_STOP,S1_FAST,311%,Late,56.0%,11.2%,1.89%,Exhausted
DSY.PA,DSY,stock,Revolut,Euro,WAIT,WAIT,17.52,25.75,24.72,41.1%,Attractive,,20,20,1.45%,OFF,VALID,OFF,,Lower Quartile,1,83.3%,29.4,45.1,0.030,0.068,,,48,81.2%,75.0%,5.09%,2334.77%,TRAILING_STOP,S1_FAST,289%,Late,75.0%,15.0%,2.99%,Exhausted
DTE.DE,Deutsche Telekom AG,stock,Revolut,Euro,WAIT,WAIT,31.84,39.02,37.46,17.6%,Moderate,,24,24,-0.34%,OFF,NO,OFF,,Lower Quartile,2,87.5%,57.1,47.3,-0.012,-0.032,,,64,73.4%,84.6%,3.08%,3138.51%,TRAILING_STOP,S1_FAST,210%,Late,84.6%,16.9%,5.38%,Exhausted
DWS.DE,DWS Group GmbH & Co. KGaA,stock,Revolut,Euro,WAIT,WAIT,56.60,65.94,63.30,11.8%,Moderate,,15,15,4.14%,OFF,VALID,OFF,,Lower Quartile,2,100.0%,52.4,54.5,-0.032,0.260,,,19,84.2%,100.0%,12.69%,691.30%,TRAILING_STOP,S0_BASE,182%,Late,100.0%,20.0%,13.91%,Exhausted
EMG.L,Man Group,stock,Moneybase,GBP,WAIT,WAIT,2.62,3.18,3.05,16.6%,Moderate,,28,28,4.05%,OFF,VALID,OFF,,Normal Range,2,76.0%,58.5,56.6,-0.131,1.151,,,51,74.5%,72.7%,2.49%,3592.13%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,S6_TIGHT,577%,Late,72.7%,14.5%,1.65%,Exhausted
FDR.MC,Fluidra,stock,Revolut,Euro,WAIT,WAIT,20.42,24.71,23.72,16.2%,Moderate,,40,40,3.29%,OFF,VALID,OFF,,Lower Quartile,0,66.7%,39.4,44.5,-0.081,0.102,,,36,66.7%,75.0%,4.57%,2800.76%,HARD_STOP_FROM_ENTRY,S4_WIDEATR,83%,Late,75.0%,30.0%,4.40%,Late Risk
FME.DE,Fresenius Medical Care,stock,Revolut,Euro,WAIT,WAIT,38.59,54.22,52.05,34.9%,Attractive,,24,24,0.05%,OFF,NO,OFF,,Lower Quartile,1,80.0%,41.6,46.3,0.016,0.011,,,38,68.4%,71.4%,2.30%,430.53%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S5_COMBO,99%,Late,71.4%,14.3%,2.95%,Late Risk
