Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
SAN.PA,SAN,stock,Revolut,Euro,WAIT,WAIT,81.99,113.44,108.90,32.8%,Attractive,,21,21,1.04%,OFF,VALID,OFF,,Extended,0,66.7%,50.2,64.0,0.356,0.303,,53,75.5%,80.0%,3.44%,1105.51%,TREND_BREAK_MA40_TWO_NEG_SLOPE,104%,Late,64.0%,12.8%,4.34%,Exhausted
SN.L,Smith & Nephew,stock,Moneybase,GBP,WAIT,WAIT,11.93,15.04,14.44,21.0%,Attractive,,21,21,-0.21%,OFF,NO,OFF,,Lower Quartile,1,76.9%,39.8,36.3,-6.483,-0.699,,52,75.0%,91.7%,3.98%,1363.07%,RSI_BAND_DROP,204%,Late,91.7%,18.3%,10.24%,Exhausted
SSPG.L,SSP Group,stock,Moneybase,GBP,WAIT,WAIT,1.73,2.36,2.27,31.2%,Attractive,,3,3,-3.09%,OFF,NO,OFF,,Lower Quartile,1,55.6%,46.1,38.5,-1.397,-0.148,Lower-low still forming (price still breaking down),36,69.4%,40.0%,2.20%,1008.88%,HARD_STOP_FROM_ENTRY,127%,Late,40.0%,8.0%,-0.49%,Exhausted
T2V1.F,Tryg,stock,Revolut,Euro,WAIT,WAIT,19.91,28.15,27.02,35.7%,Attractive,,16,16,-0.65%,OFF,NO,OFF,,Lower Quartile,0,66.7%,40.0,42.0,-0.046,-0.030,Lower-low still forming (price still breaking down),46,80.4%,69.2%,3.77%,862.00%,TRAILING_STOP,262%,Late,69.2%,13.8%,3.40%,Exhausted
TEP.PA,TEP,stock,Revolut,Euro,WAIT,WAIT,47.01,83.81,80.46,71.1%,Attractive,⭐,51,51,-1.90%,OFF,NO,OFF,,Lower Quartile,0,63.6%,31.1,38.5,-0.263,-0.089,,41,63.4%,40.0%,6.28%,2518.39%,HARD_STOP_FROM_ENTRY,46%,Mid,52.0%,44.2%,0.17%,Mid OK
TRE.MC,Tecnicas Reunidas,stock,Revolut,Euro,WAIT,WAIT,29.52,34.93,33.53,13.6%,Moderate,,28,28,-2.96%,OFF,NO,OFF,,Lower Quartile,1,64.3%,51.4,45.5,-0.224,0.025,Lower-low still forming (price still breaking down),55,65.5%,62.5%,2.14%,3350.10%,TRAILING_STOP,179%,Late,70.0%,14.0%,3.76%,Exhausted
UPS,United Parcel Service,stock,Revolut,USD,WAIT,WAIT,94.80,118.21,113.48,19.7%,Moderate,,24,24,-2.77%,OFF,NO,OFF,,Lower Quartile,2,100.0%,35.8,28.2,-0.856,-0.069,Lower-low still forming (price still breaking down),46,89.1%,90.9%,4.36%,2243.99%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,314%,Late,90.9%,18.2%,4.41%,Exhausted
WDH.F,Demant,stock,Revolut,Euro,WAIT,WAIT,12.50,34.35,32.98,163.8%,Attractive,,11,11,5.04%,OFF,VALID,OFF,,Normal Range,1,100.0%,40.2,51.5,0.024,0.053,,8,87.5%,87.5%,1.56%,63.26%,HARD_STOP_FROM_ENTRY,318%,Late,87.5%,17.5%,1.56%,Exhausted
XAD5.MI,Xtrackers Physical Gold ETC (EUR,etf,Moneybase,Euro,WAIT,WAIT,376.78,,,,No Target,,13,13,3.28%,OFF,NO,OFF,,Lower Quartile,1,83.3%,53.4,40.5,-3.408,-0.147,,48,77.1%,100.0%,2.86%,567.98%,TRAILING_STOP,179%,Late,100.0%,20.0%,6.04%,Exhausted
XYZ,XYZ,stock,Revolut,USD,WAIT,WAIT,55.98,76.20,73.15,30.7%,Attractive,⭐,56,56,-5.71%,OFF,NO,OFF,,Lower Quartile,2,71.4%,42.7,40.0,-0.233,-0.337,Lower-low still forming (price still breaking down),25,76.0%,70.0%,12.96%,5823.05%,HARD_STOP_FROM_ENTRY,63%,Mature,70.0%,45.5%,12.46%,Mid OK
ZAL.DE,Zalando SE,stock,Revolut,Euro,WAIT,WAIT,20.13,34.87,33.48,66.3%,Attractive,⭐,55,55,-2.47%,OFF,NO,OFF,,Lower Quartile,2,87.5%,38.4,40.0,-0.095,-0.121,Lower-low still forming (price still breaking down),29,69.0%,62.5%,8.41%,2589.35%,HARD_STOP_FROM_ENTRY,45%,Mid,62.5%,53.1%,1.77%,Mid OK
