ticker,type,notes,Investing.com website,Platform,Code,"Name",Currency,Target Price,Commodity Type
BPCR.L,stock,,,Moneybase,BPCR,"BioPharma Credit",GBP,0.91,
HBR.L,stock,,,Moneybase,HBR,"Harbour Energy",GBP,3.68,
SSPG.L,stock,,,Moneybase,SSPG,"SSP Group",GBP,2.32,
SGE.L,stock,,,Moneybase,SGE,"Sage",GBP,10.63,
QLT.L,stock,,,Moneybase,QLT,"Quilter",GBP,2.22,
III.L,stock,,,Moneybase,III,"3I Group",GBP,31.74,
EMG.L,stock,,,Moneybase,EMG,"Man Group",GBP,3.18,
FISV,stock,,,Revolut,FISV,"Fiserv",USD,93.03,
ADBE,stock,,,Revolut,ADBE,"Adobe",USD,387.28,
WDAY,stock,,,Revolut,WDAY,"Workday",USD,280.59,
CRM,stock,,,Revolut,CRM,"Salesforce Inc",USD,194,
INTU,stock,,,Revolut,INTU,"Intuit",USD,619.95,
NKE,stock,,,Revolut,NKE,"Nike",USD,63.3,
QCOM,stock,,,Revolut,QCOM,"Qualcomm",USD,174.47,
ORCL,stock,,,Revolut,ORCL,"Oracle",USD,175.86,
UPS,stock,,,Revolut,UPS,"United Parcel Service",USD,118.53,
BKNG,stock,,,Revolut,BKNG,"Booking",USD,5066,
